,Films,Year,GoldenGlobes,Nominations
428,Children of a Lesser God,1987,1,3
429,"Children's Hour, The",1962,0,3
430,"China Syndrome, The",1980,0,5
431,Chinatown,1975,4,7
432,Chitty Chitty Bang Bang,1969,0,2
433,Chocolat,2001,0,4
434,"Chorus Line: The Movie, A",1986,0,2
435,Christmas In Love,2006,0,1
436,"Cider House Rules, The",2000,0,2
437,"Cincinnati Kid, The",1966,0,1
438,Cinderella Liberty,1974,1,5
439,Cinderella Man,2006,0,2
440,Cinema Paradiso,1990,1,1
441,Circus World,1965,1,2
442,City Of God,2003,0,1
443,City Slickers,1992,1,3
444,City of Angels,1999,0,1
445,"Civil Action, A",1999,0,1
446,Claire's Knee,1972,0,1
447,Clara's Heart,1989,0,1
448,Claudine,1975,0,3
449,Cleopatra,1964,0,4
450,"Clockwork Orange, A",1972,0,3
451,Close Encounters of the Third Kind,1978,0,4
452,Close to Eden,1993,0,1
453,Closely Watched Trains,1968,0,1
454,Closer,2005,2,5
455,Cloud Atlas,2013,0,1
456,Cloudy With A Chance Of Meatballs,2010,0,1
457,Coal Miner's Daughter,1981,2,4
458,Cocktail,1989,0,1
459,Coco,2018,1,2
460,Cocoon,1986,0,1
461,Cold Mountain,2004,1,8
462,Collateral,2005,0,1
463,"Collector, The",1966,1,4
464,Colonel Redl,1986,0,1
465,"Color Purple, The",1986,1,5
466,"Color of Money, The",1987,0,2
467,Color of Night,1995,0,1
468,"Come Back To The Five and Dime, Jimmy Dean, Jimmy Dean",1983,0,1
469,"Come Back, Little Sheba",1953,1,2
470,Come Blow Your Horn,1964,0,4
471,Come September,1962,1,1
472,Come To The Stable,1950,0,1
473,"Comedians, The",1968,0,1
474,Coming Home,1979,2,6
475,"Commitments, The",1992,0,1
476,"Competition, The",1981,0,1
477,Conan the Barbarian,1983,1,1
478,Concussion,2016,0,1
479,"Confession, The",1971,0,1
480,Confessions Of Felix Krull,1958,0,1
481,"Conformist, The",1972,0,1
482,"Conjugal Bed, The",1964,0,1
483,Conspiracy of Hearts,1961,0,1
484,"Constant Gardener, The",2006,1,3
485,Contact,1998,0,1
486,"Contender, The",2001,0,2
487,Continental Divide,1982,0,1
488,"Conversation, The",1975,0,4
489,Cool Hand Luke,1968,0,2
490,"Cooler, The",2004,0,2
491,Coraline,2010,0,1
492,Corvette Summer,1979,0,1
493,"Cotton Club, The",1985,0,2
494,Country,1985,0,1
495,"Country Girl, The",1955,1,1
496,Country Strong,2011,0,1
497,"Court Jester, The",1957,0,1
498,"Cousin, Cousine",1977,0,1
499,Crash,2006,0,2
500,Crazy Heart,2010,2,2
501,Crazy Rich Asians,2019,0,2
502,"Crazy, Stupid, Love.",2012,0,1
503,Creed,2016,1,1
504,Cries and Whispers,1973,0,1
505,"Crime & Punishment, USA",1960,0,1
506,Crimes and Misdemeanors,1990,0,1
507,Crimes of the Heart,1987,1,2
508,"Crimson Kimono, The",1960,0,1
509,Crocodile Dundee,1987,1,3
510,Cromwell,1971,0,1
511,"Croods, The",2014,0,1
512,Crossing Delancey,1989,0,1
513,"Crossing Guard, The",1996,0,1
514,"Crouching Tiger, Hidden Dragon",2001,2,3
515,"Crucible, The",1997,0,2
516,Cry Freedom,1988,0,4
517,"Cry in the Dark, A",1989,0,4
518,"Crying Game, The",1993,0,1
519,Cría Cuervos,1978,0,1
520,Cyrano De Bergerac (1990),1991,1,1
521,Cyrano de Bergerac (1950),1951,2,4
522,Dad,1990,0,1
523,Dallas Buyers Club,2014,2,2
524,Damage,1993,0,1
525,Damn Yankees,1959,0,1
526,"Damned, The",1970,0,1
527,Dancer In The Dark,2001,0,2
528,Dances with Wolves,1991,3,6
529,Dangerous Curves (UK),1956,0,1
530,"Dangerous Method, A",2012,0,1
531,Dangerous Moves,1985,0,1
532,"Dangerous Woman, A",1994,0,1
533,Danny Collins,2016,0,1
534,Darby O'Gill and The Little People,1960,0,1
535,Dark Eyes,1988,0,1
536,"Dark Knight, The",2009,1,1
537,"Dark at the Top of the Stairs, The",1961,0,3
538,Darkest Hour,2018,1,1
539,Darling,1966,1,3
540,Darling Lili,1971,1,3
541,Das Boot,1982,0,1
542,Dave,1994,0,2
543,David and Lisa,1963,1,2
544,Day for Night,1974,0,2
545,"Day of the Dolphin, The",1974,0,1
546,"Day of the Jackal, The",1974,0,3
547,"Day of the Locust, The",1976,0,2
548,Days of Heaven,1979,0,2
549,Days of Wine and Roses,1963,0,4
550,De-Lovely,2005,0,2
551,Dead Again,1992,0,1
552,Dead Heat on a Merry-Go-Round,1967,1,1
553,Dead Man Walking,1996,0,3
554,Dead Poets Society,1990,0,4
555,Deadpool,2017,0,2
556,Dear Heart,1965,0,3
557,Death Becomes Her,1993,0,1
558,Death of a Salesman,1986,1,4
559,Death of a Salesman (1951),1952,4,4
560,Death on the Nile,1979,0,1
561,Decision Before Dawn,1952,0,1
562,"Deep Blue Sea, The",2013,0,1
563,"Deep End, The",2002,0,1
564,"Deep, The",1978,0,1
565,"Deer Hunter, The",1979,1,6
