,Films,Year,GoldenGlobes,Nominations
1529,Pelle The Conqueror,1989,1,1
1530,Pennies from Heaven,1982,1,3
1531,People of the Wind,1977,0,1
1532,"People vs. Larry Flynt, The",1997,2,5
1533,Pepe,1961,0,3
1534,Period of Adjustment,1963,0,2
1535,Persepolis,2008,0,1
1536,Pete 'n' Tillie,1973,0,3
1537,Pete's Dragon,1978,0,1
1538,Peyton Place,1958,0,3
1539,Phaedra ,1963,0,1
1540,Phantom Thread,2018,0,2
1541,Phantom of the Paradise,1975,0,1
1542,Phffft!,1955,0,1
1543,Philadelphia,1994,2,3
1544,Philomena,2014,0,3
1545,"Pianist, The",2003,0,2
1546,Picnic,1956,1,1
1547,Pictura ,1952,1,1
1548,Pieces of April,2004,0,1
1549,Pieces of Dreams,1971,0,1
1550,Pillow Talk,1960,0,3
1551,Pineapple Express,2009,0,1
1552,"Pink Panther Strikes Again, The",1977,0,2
1553,"Pink Panther, The",1965,0,1
1554,Pipe Dreams,1977,0,2
1555,"Pirates of Penzance, The",1984,0,1
1556,Pirates of the Caribbean: Dead Man's Chest,2007,0,1
1557,Pirates of the Caribbean: The Curse of the Black Pearl,2004,0,1
1558,Pixote,1982,0,1
1559,Places in the Heart,1985,1,3
1560,Platinum High School,1960,0,1
1561,Platoon,1987,3,4
1562,Play It as It Lays,1973,0,1
1563,Play Misty for Me,1972,0,1
1564,"Player, The",1993,2,4
1565,Players,1980,0,1
1566,Plaza Suite,1972,0,2
1567,"Pleasure of His Company, The",1962,0,1
1568,"Plunderers, The",1961,0,1
1569,Pocahontas,1996,1,2
1570,Pocketful of Miracles,1962,2,4
1571,Poetic Justice,1994,0,1
1572,"Policeman, The",1972,1,1
1573,Pollyanna,1961,0,1
1574,Poor Cow,1969,0,1
1575,Popi,1970,0,1
1576,Porgy and Bess,1960,1,3
1577,"Portrait of a Lady, The",1997,0,1
1578,"Poseidon Adventure, The",1973,1,4
1579,Postcards From The Edge,1991,0,3
1580,Precious: Based On The Novel Push By Sapphire,2010,1,3
1581,Pressure Point,1963,0,1
1582,Pretty Woman,1991,1,4
1583,Prick Up Your Ears,1988,0,1
1584,Pride,2015,0,1
1585,Pride & Prejudice,2006,0,2
1586,Primal Fear,1997,1,1
1587,Primary Colors,1999,0,2
1588,"Prime of Miss Jean Brodie, The",1970,1,3
1589,"Prince of Tides, The",1992,1,3
1590,Prince of the City,1982,0,3
1591,"Princess And The Frog, The",2010,0,1
1592,Prisoner of the Mountains,1997,0,1
1593,Private Benjamin,1981,0,1
1594,"Private War, A",2019,0,2
1595,"Private's Affair, A",1960,1,2
1596,"Prize, The",1964,0,2
1597,Prizzi's Honor,1986,4,6
1598,"Producers, The (1967)",1969,0,2
1599,"Professionals, The",1967,0,2
1600,Promise at Dawn,1971,0,2
1601,Promises In The Dark,1980,0,2
1602,Proof,2006,0,1
1603,"Proposal, The",2010,0,1
1604,"Proud Rebel, The",1959,1,3
1605,Psycho,1961,1,1
1606,Pulp Fiction,1995,1,6
1607,"Pumpkin Eater, The",1965,1,1
1608,Punch-Drunk Love,2003,0,1
1609,"Purple Rose of Cairo, The",1986,1,4
1610,Puss In Boots,2012,0,1
1611,"Pussycat, Pussycat, I Love You",1971,0,1
1612,Puzzle of a Downfall Child,1971,0,1
1613,Q & A,1991,0,1
1614,Quartet,2013,0,1
1615,"Queen Is Crowned, A",1954,1,1
1616,Queen Margot,1995,0,1
1617,"Queen, The",2007,2,4
1618,Quest For Camelot: The Magic Sword,1999,1,1
1619,Quest For Fire,1983,0,1
1620,"Quiet American, The",2003,0,1
1621,"Quiet Place, A",2019,0,1
1622,Quills,2001,0,2
1623,Quiz Show,1995,0,4
1624,Quo Vadis?,1952,2,3
1625,Rabbit Hole,2011,0,1
1626,Rabbit-Proof Fence,2003,0,1
1627,Rachel Getting Married,2009,0,1
1628,"Rachel, Rachel",1969,2,2
1629,Raggedy Man,1982,0,1
1630,Raging Bull,1981,1,7
1631,Ragtime,1982,0,7
1632,Raiders of the Lost Ark,1982,0,1
1633,Rain Man,1989,2,4
1634,"Rainmaker, The",1957,1,4
1635,Raintree County,1958,0,1
1636,"Raisin in the Sun, A",1962,0,2
1637,Ralph Breaks the Internet,2019,0,1
1638,Rambling Rose,1992,0,2
1639,Ran,1986,0,1
1640,Rango,2012,0,1
1641,Ransom,1997,0,1
1642,Ratatouille,2008,1,1
1643,Ray,2005,1,2
1644,"Reader, The",2009,1,4
1645,Ready to Wear,1995,0,2
1646,Rebel Without a Cause,1957,0,1
1647,Red,2011,0,1
1648,Red Beard,1966,0,1
1649,Red Sky at Morning,1972,1,1
1650,"Red Tent, The",1972,0,1
1651,Reds,1982,1,7
1652,"Reivers, The",1970,0,2
1653,Remo Williams: The Adventure Begins,1986,0,1
1654,Repentance,1988,0,1
1655,Requiem For Dominic,1991,0,1
1656,Requiem For a Dream,2001,0,1
1657,Resurrection,1981,0,1
1658,"Return of the Pink Panther, The",1976,0,3
1659,"Reuben, Reuben",1984,0,3
1660,Reversal of Fortune,1991,1,4
1661,Revolutionary Road,2009,1,4
1662,Richard III,1996,0,1
1663,Richard III  (1955),1957,1,1
1664,Rider on the Rain,1971,1,1
1665,Ridicule,1997,0,1
1666,"Right Stuff, The",1984,0,1
1667,Rio Bravo,1959,0,1
1668,Rio Bravo,1960,1,1
1669,Rio Conchos,1965,0,1
1670,Rise of the Guardians,2013,0,1
1671,Risky Business,1984,0,1
1672,"Ritz, The",1977,0,3
1673,"River Runs Through It, A",1993,0,1
1674,"River Wild, The",1995,0,2
1675,"River, The",1985,0,1
1676,"River, The (1984)",1985,0,1
1677,Road to Perdition,2003,0,1
1678,Rob Roy,1996,0,1
1679,"Robe, The",1954,1,1
1680,Robin Hood: Prince of Thieves,1992,0,2
1681,Rocky,1977,1,6
1682,Rocky III,1983,0,1
1683,Rogues' Gallery,1968,0,1
1684,Roma,2019,2,3
1685,Roman Holiday,1954,1,1
1686,"Roman J. Israel, Esq.",2018,0,1
1687,Romancing the Stone,1985,2,2
1688,Rome Adventure,1963,0,1
1689,Romeo And Juliet (1966),1967,0,1
1690,Romeo and Juliet,1969,3,5
1691,Room,2016,1,3
1692,Room At The Top,1960,1,2
1693,"Room with a View, A",1987,1,3
1694,Rope of Sand,1950,0,1
1695,"Rose Garden, The",1990,0,1
1696,"Rose Tattoo, The",1956,2,2
1697,"Rose, The",1980,3,5
1698,Roseland,1978,0,1
1699,Rosemary,1959,1,1
1700,Rosemary's Baby,1969,1,4
1701,Roxanne,1988,0,1
1702,"Royal Tenenbaums, The",2002,1,1
1703,Rules Don't Apply,2017,0,1
1704,"Ruling Class, The",1973,0,1
1705,Rumble Fish,1984,0,1
1706,Runaway Train,1986,1,3
1707,Running Scared,1987,0,1
1708,Running With Scissors,2007,0,1
1709,Running on Empty,1989,1,5
1710,Rush,2014,0,2
1711,Rush (1991),1992,0,1
1712,Rushmore,1999,0,1
1713,Russia,1973,0,1
1714,"Russia House, The",1991,0,1
1715,"Russians Are Coming, The Russians Are Coming, The",1967,2,5
1716,Rust and Bone,2013,0,2
1717,Ruthless People,1987,0,1
1718,Ryan's Daughter,1971,1,3
1719,S. O. B.,1982,0,1
1720,Sabrina,1955,1,1
1721,Sabrina (1995),1996,0,3
1722,"Sailor Who Fell From Grace With The Sea, The",1977,0,2
1723,Salaam Bombay!,1989,0,1
1724,Sallah,1965,0,1
1725,Salmon Fishing in the Yemen,2013,0,3
1726,"Same Time, Next Year",1979,1,3
1727,Samson and Delilah,1951,0,1
1728,Sapporo Winter Olympics,1973,0,1
1729,Saturday Night Fever,1978,0,4
1730,"Savages, The",2008,0,1
1731,Save the Tiger,1974,0,3
1732,Saving Grace,2001,0,1
1733,Saving Mr. Banks,2014,0,1
1734,Saving Private Ryan,1999,2,5
1735,Say One For Me,1960,0,2
1736,Sayonara,1958,2,6
1737,"Scalphunters, The",1969,0,1
1738,Scandal,1990,0,1
1739,Scarface,1984,0,3
1740,Scenes From a Marriage,1975,1,2
1741,Scent of a Woman,1993,3,4
1742,Schindler's List,1994,3,6
1743,"School of Rock, The",2004,0,1
1744,Schtonk!,1993,0,1
1745,Scrooge,1971,1,5
1746,Sea of Love,1990,0,1
1747,Seabiscuit,2004,0,2
1748,"Second Gun, The",1974,0,1
1749,"Secret of My Success, The",1988,0,1
1750,"Secret of Santa Vittoria, The",1970,1,6
1751,Secretary,2003,0,1
1752,Secrets & Lies,1997,1,3
1753,Selena,1998,0,1
1754,Selma,2015,1,4
1755,Sense and Sensibility,1996,2,6
1756,Separate Tables,1959,1,5
1757,September Affair,1952,1,1
1758,"Serious Man, A",2010,0,1
1759,Serpico,1974,1,2
1760,"Sessions, The",2013,0,2
1761,Seven Beauties,1977,0,1
1762,Seven Brides for Seven Brothers,1955,0,1
1763,Seven Days In May,1964,0,1
1764,Seven Days In May,1965,0,3
1765,"Seven Minutes, The",1972,0,1
1766,"Seven Year Itch, The",1956,1,1
1767,Seven Years in Tibet,1998,0,1
1768,"Sex, Lies, and Videotape",1990,0,3
1769,Sexy Beast,2002,0,1
1770,Shadow of the Vampire,2001,0,1
1771,Shaft,1972,1,3
1772,Shakespeare in Love,1999,3,6
1773,Shame,1969,0,1
1774,Shame,2012,0,1
1775,Shampoo,1976,0,5
1776,Shanghai Triad,1996,0,1
1777,Sharky's Machine,1982,0,1
1778,Shattered Glass,2004,0,1
1779,Shaun the Sheep Movie,2016,0,1
1780,"Shawshank Redemption, The",1995,0,2
1781,She-Devil,1990,0,1
1782,"Sheltering Sky, The",1991,1,2
1783,Shenandoah,1966,0,1
1784,Sherlock Holmes,2010,1,1
1785,Sherrybaby,2007,0,1
1786,Shine,1997,1,5
1787,Ship of Fools,1966,0,3
1788,Shirley Valentine,1990,0,3
1789,Shock Corridor,1964,0,1
1790,"Shoes of the Fisherman, The",1969,1,2
1791,Shoot The Moon,1983,0,2
1792,"Shootist, The",1977,0,1
1793,"Shop on Main Street, The",1967,0,1
1794,Shoplifters,2019,0,1
1795,Short Cuts,1994,0,1
1796,Shrek,2002,0,1
1797,Shrek 2,2005,0,1
1798,Sideways,2005,2,7
1799,"Signore & signori (The Birds, The Bees And The Italians)",1967,0,1
1800,"Silence of the Lambs, The",1992,1,5
1801,Silent Movie,1977,0,4
1802,Silk Stockings,1958,0,2
1803,Silkwood,1984,1,5
1804,"Silver Chalice, The",1957,1,1
1805,Silver Linings Playbook,2013,1,4
1806,Silver Streak,1977,0,1
1807,"Simple Plan, a",1999,0,1
1808,"Simpsons Movie, The",2008,0,1
1809,Sing,2017,0,2
1810,Sing Street,2017,0,1
1811,Singin' in the Rain,1953,1,2
1812,Sister Act,1993,0,2
1813,Sister Kenny,1947,1,1
1814,Six Degrees of Separation,1994,0,1
1815,Six Weeks,1983,0,2
1816,"Sixth Sense, The",2000,0,2
1817,Ski Fever,1968,0,1
1818,Skyfall,2013,1,1
1819,Slaughterhouse Five,1973,0,1
1820,Sleepless in Seattle,1994,0,3
1821,"Slender Thread, The",1966,0,1
1822,Sleuth,1973,0,3
1823,"Slipper and the Rose - The Story of Cinderella, The",1977,0,2
1824,Slow Dancing in the Big City,1979,0,1
1825,Slumdog Millionaire,2009,4,4
1826,Small Change,1977,0,1
1827,Small Time Crooks,2001,0,1
1828,Smashing Time,1968,0,1
1829,Smokey and The Bandit,1978,0,1
1830,"Snapper, The",1994,0,1
1831,So Big,1954,0,1
1832,Soapdish,1992,0,1
1833,Soldier of Orange,1980,0,1
1834,"Soldier's Story, A",1985,0,3
1835,"Solid Gold Cadillac, The",1957,0,2
1836,Some Came Running,1959,0,1
1837,Some Like It Hot,1960,3,3
1838,Something To Talk About,1996,0,1
1839,Something Wild,1987,0,3
1840,Something for Everyone,1971,0,1
1841,Something's Gotta Give,2004,1,2
1842,Somewhere in Time,1981,0,1
1843,Son of Saul,2016,1,1
1844,Song Without End ,1961,1,3
1845,Songwriter,1985,0,1
1846,Sons and Lovers,1961,1,5
1847,"Sons, Mothers And A General",1956,0,1
1848,Sophie's Choice,1983,1,3
1849,"Sound of Music, The",1966,2,4
1850,Sounder,1973,0,2
1851,South Pacific,1959,0,2
1852,Spanglish,2005,0,1
1853,Spartacus,1961,1,6
1854,"Special Day, A",1978,1,2
1855,Special Section,1976,0,1
1856,Special Treatment,1981,0,1
1857,Spectre,2016,1,1
1858,Speechless,1995,0,1
1859,Spider-Man: Into the Spider-Verse,2019,1,1
1860,Spirit: Stallion of the Cimarron,2003,0,1
1861,Splash,1985,0,1
1862,Splendor in the Grass,1962,0,4
1863,Spotlight,2016,0,3
1864,Spy,2016,0,2
1865,"Spy Who Came in from the Cold, The",1966,1,1
1866,"Spy Who Loved Me, The",1978,0,2
1867,Square Dance,1988,0,1
1868,"Squid and the Whale, The",2006,0,3
1869,St. Vincent,2015,0,2
1870,Stan & Ollie,2019,0,1
1871,Stand By Me,1987,0,2
1872,Stand Up Guys,2013,0,1
1873,Stand and Deliver,1989,0,2
1874,Star 80,1984,0,1
1875,"Star Is Born, A (1976)",1977,5,5
1876,"Star Is Born, A (2018)",2019,1,5
1877,Star Spangled Girl,1972,0,1
1878,Star Trek: The Motion Picture,1980,0,1
1879,Star Wars: Episode IV - A New Hope,1978,1,4
1880,Star Wars: Episode V - The Empire Strikes Back,1981,0,1
1881,Star and Stripes Forever,1953,0,1
1882,"Star is Born, A (1954)",1955,2,2
1883,Star!,1969,1,4
1884,Stars and Stripes Forever,1953,0,2
1885,Starting Over,1980,0,4
1886,State of Siege,1974,0,1
1887,Stay Hungry,1977,1,1
1888,Staying Alive,1984,0,1
1889,Steel Magnolias,1990,1,2
1890,Stella,1956,0,1
1891,Stepmom,1999,0,1
1892,"Sterile Cuckoo, The",1970,0,1
1893,Steve Jobs,2016,2,4
1894,Stevie,1979,0,2
1895,Still Alice,2015,1,1
1896,Still Crazy,1999,0,2
1897,"Sting, The",1974,0,1
1898,Stolen Kisses,1969,0,1
1899,"Story of Esther Costello, The",1958,0,1
1900,Story of Women,1990,0,1
1901,Stranger Than Fiction,2007,0,1
1902,Street Smart,1988,0,1
1903,Strictly Ballroom,1994,0,1
1904,"Stunt Man, The",1981,1,6
1905,"Subject Was Roses, The",1969,0,1
1906,Such Good Friends,1972,0,1
1907,Sudden Fear,1953,0,1
1908,"Suddenly, Last Summer",1960,1,2
1909,Summer Magic,1964,0,1
1910,"Summer Place, A",1960,0,1
1911,"Summer Wishes, Winter Dreams",1974,0,3
1912,Summer and Smoke,1962,1,3
1913,Summer of '42,1972,0,4
1914,Sunday Bloody Sunday,1972,1,2
1915,Sunday In New York,1965,0,1
1916,"Sunday in the Country, A",1985,0,1
1917,Sundays and Cybèle,1963,1,1
1918,"Sundowners, The",1961,0,2
1919,Sunrise at Campobello,1961,1,2
1920,Sunset Boulevard,1951,4,7
1921,Sunshine,2001,0,3
1922,"Sunshine Boys, The",1976,3,4
1923,Superman,1979,0,1
1924,Sweeney Todd: The Demon Barber of Fleet Street,2008,2,4
1925,Sweet Bird of Youth,1963,1,4
1926,Sweet Charity,1970,0,1
1927,"Sweet Ride, The",1969,0,2
1928,Sweet and Lowdown,2000,0,2
1929,Swing Shift,1985,0,1
1930,Switch,1992,0,1
1931,Syriana,2006,1,2
1932,Take a Giant Step,1960,0,2
1933,Taken,2003,0,1
1934,Talk To Her,2003,1,1
1935,Tall Story,1962,0,1
1936,"Taming of the Shrew, The",1968,0,2
1937,Tangerines,2015,0,1
1938,Tangled,2011,0,2
1939,Tango,1999,0,1
1940,Taps,1982,0,1
1941,Tarahumara (Always Further On),1966,0,1
1942,Taras Bulba,1963,0,1
1943,Tarzan,2000,1,1
1944,"Taste of Honey, A",1963,0,2
1945,Taxi Blues,1991,0,1
1946,Taxi Driver,1977,0,2
1947,Tchaikovsky,1972,0,1
1948,Tea For Two,1951,1,1
1949,Tea and Sympathy,1957,0,1
1950,Teacher's Pet,1959,0,2
1951,"Teahouse of the August Moon, The",1957,0,6
1952,Telstar,1963,1,1
1953,Tempest,1983,0,2
1954,"Ten Commandments, The",1957,0,1
1955,Tender Mercies,1984,0,5
1956,Teresa,1952,1,1
1957,Terms of Endearment,1984,4,6
1958,Tess,1981,2,4
1959,Testament,1984,0,1
1960,Tex,1983,0,1
1961,Thank God It's Friday,1979,1,1
1962,Thank You For Smoking,2007,0,2
1963,That Funny Feeling,1966,0,1
1964,That Hagen Girl,1948,1,1
1965,That Obscure Object of Desire,1978,0,1
1966,That Thing You Do!,1997,0,1
1967,That Touch of Mink,1963,1,2
1968,"That's Entertainment, Part 2",1977,0,1
1969,That's Life!,1987,0,3
1970,The Adventures of Ichabod and Mr. Toad,1950,1,1
1971,The Alamo,1961,1,1
1972,The Artist,2012,3,6
1973,The Asphalt Jungle,1951,0,3
1974,The Aviator,2005,3,6
1975,The Baader Meinhof Complex,2009,0,1
1976,The Barbarian Invasions,2004,0,1
1977,The Bells of St. Mary's,1946,1,1
1978,The Best Man,1998,0,1
1979,The Best Man ,1965,0,2
1980,The Best Of Enemies,1963,0,4
1981,The Best Years Of Our Lives,1947,2,2
1982,The Bible: In The Beginning,1967,0,1
1983,The Bicycle Thief,1950,1,1
1984,The Big Lift,1951,0,1
1985,The Blue Veil,1952,1,1
1986,The Book Thief,2014,0,1
1987,The Brand New Testament,2016,0,1
1988,The Bridge,1960,0,1
1989,The Celebration,1999,0,1
1990,The Chorus,2005,0,1
1991,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",2006,0,2
1992,The Chronicles of Narnia: The Voyage of The Dawn Treader,2011,0,1
1993,The Climax,1968,0,2
1994,The Club,2016,0,1
1995,The Concert,2011,0,1
1996,The Crime of Padre Amaro,2003,0,1
1997,The Curious Case of Benjamin Button,2009,0,5
1998,The Customer of the Off Season,1971,0,1
1999,The Da Vinci Code,2007,0,1
2000,The Danish Girl,2016,0,3
2001,The Day The Earth Stood Still,1952,1,2
2002,The Diving Bell and the Butterfly,2008,2,3
2003,The Double Life of Veronique,1992,0,1
2004,The Dresser,1984,1,5
2005,The Edge,2011,0,1
2006,The Edge of Seventeen,2017,0,1
2007,The Eighth Day,1997,0,1
2008,The Emperor's New Groove,2001,0,1
2009,The End of the Affair,2000,0,4
2010,The English Patient,1997,2,7
2011,The Fall Of The Roman Empire,1965,1,1
2012,The Fallen Idol,1950,0,1
2013,The Fencer,2016,0,1
2014,The Flowers Of War,2012,0,1
2015,The Fountain,2007,0,1
2016,The Four Days Of Naples,1964,0,1
2017,The Fox,1968,1,4
2018,The Girl With The Dragon Tattoo,2012,0,2
2019,The Girl on the Bridge,2000,0,1
2020,The Good Dinosaur,2016,0,1
2021,The Good Soldier Schweik,1962,0,1
2022,The Great Beauty,2014,1,1
2023,The Great Race,1966,0,4
2024,The Greatest Show On Earth,1953,3,3
2025,The Greatest Showman,2018,1,3
2026,The Guns Of Navarone,1962,2,3
2027,The Happy Time,1953,0,4
2028,The Hasty Heart,1950,2,3
2029,The Hateful Eight,2016,1,3
2030,The Heiress,1950,1,3
2031,The Help,2012,1,5
2032,The Hospital,1972,1,3
2033,The Hours,2003,2,7
2034,The House I Live In,1946,1,1
2035,The Hunchback of Notre Dame,1997,0,1
2036,The Hunger Games,2013,0,1
2037,The Hunger Games: Catching Fire,2014,0,1
2038,The Hunger Games: Mockingjay - Part 1,2015,0,1
2039,The Hunt,2014,0,1
2040,The Hustler,1962,0,4
2041,The Imitation Game,2015,0,5
2042,The Informant!,2010,0,2
2043,The Insider,2000,0,5
2044,The Inspector General,1950,1,1
2045,The Intouchables,2013,0,1
2046,The Kid With A Bike,2012,0,1
2047,The King's Speech,2011,1,7
2048,The Kite Runner,2008,0,2
2049,The Knack ...And How To Get It,1966,0,2
2050,The Lady Of The Camelias,1955,0,1
2051,The Last Chance,1947,1,1
2052,The Last Samurai,2004,0,3
2053,The Leather Boys,1966,0,1
2054,The Legend of 1900,2000,1,1
2055,The Lion King,1995,3,4
2056,The Lion in Winter,1969,2,7
2057,The Lives Of Others,2007,0,1
2058,The Lobster,2017,0,1
2059,The Longest Yard,1975,1,4
2060,The Lord of the Rings: The Fellowship of the Ring,2002,0,4
2061,The Lord of the Rings: The Return of the King,2004,4,4
2062,The Lost Weekend,1946,3,3
2063,The Magic Flute,1976,0,1
2064,The Magnificent Yankee,1951,0,1
2065,The Maid (La Nana),2010,0,1
2066,The Mark,1962,1,1
2067,The Martian,2016,2,3
2068,The Mighty,1999,0,2
2069,The Mirror Has Two Faces,1997,1,4
2070,The Moon Is Blue,1954,1,1
2071,The Motorcycle Diaries,2005,0,1
2072,The Next Voice You Hear...,1951,0,1
2073,The Nightmare Before Christmas,1994,0,1
2074,The Painted Veil,2007,1,1
2075,The Past,2014,0,1
2076,The Peanuts Movie,2016,0,1
2077,The Pearl,1949,1,1
2078,The Perfect Furlough,1959,1,2
2079,The Phantom of the Opera,2005,0,3
2080,The Piano,1994,1,6
2081,The Picture of Dorian Gray,1946,1,1
2082,The Pigeon That Took Rome,1963,0,3
2083,The Polar Express,2005,0,1
2084,The Polish Bride,1999,0,1
2085,The Post,2018,0,6
2086,The Prince of Egypt,1999,0,2
2087,The Producers,2006,0,4
2088,The Promise (Master of the Crimson Armor),2006,0,1
2089,The Pursuit of Happyness,2007,0,2
2090,The Quiet Man,1953,0,2
2091,The Razor's Edge,1947,2,2
2092,The Red Shoes,1949,1,1
2093,The Red Violin,2000,0,1
2094,The Return,2004,0,1
2095,The Revenant,2016,3,4
2096,The Roman Spring of Mrs. Stone,1962,0,1
2097,The Rose On His Arm,1957,0,1
2098,The Salesman,2017,0,1
2099,The Sand Pebbles,1967,1,8
2100,The Sandpiper,1966,0,2
2101,The Sea Inside,2005,1,2
2102,The Search,1949,3,3
2103,The Searchers,1958,0,1
2104,The Shape of Water,2018,2,7
2105,The Shipping News,2002,0,2
2106,The Sin Of Harold Diddlebock,1951,0,1
2107,The Skin I Live In,2012,0,1
2108,The Social Network,2011,4,6
2109,The Song Of Bernadette,1944,3,3
2110,The Spy With A Cold Nose,1967,0,2
2111,The Square,2018,0,1
2112,The Star,2018,0,1
2113,The Straight Story,2000,0,2
2114,The Stranger,1968,0,1
2115,The Swan Princess,1995,0,1
2116,The Talented Mr. Ripley,2000,0,5
2117,The Theory of Everything,2015,2,4
2118,The Thief,1953,0,5
2119,The Towering Inferno,1975,2,5
2120,The Treasure of the Sierra Madre,1949,2,3
2121,The Trials Of Oscar Wilde (The Man With The Green Carnation),1961,1,1
2122,The Truman Show,1999,3,6
2123,The Umbrellas Of Cherbourg,1966,0,1
2124,The Virgin Spring,1961,0,1
2125,The Wedding Banquet,1994,0,1
2126,The Well,1952,0,1
2127,The Whisperers,1968,1,2
2128,The White Reindeer,1957,0,1
2129,The White Ribbon (Das Weisse Band - Eine Deutsche Kindergeschichte),2010,1,1
2130,The Widow of Saint-Pierre,2001,0,1
2131,The Wild Thornberrys Movie,2003,0,1
2132,The Wind Rises,2014,0,1
2133,The Wonderful World Of The Brothers Grimm,1963,0,2
2134,The World Of Apu,1961,0,1
2135,The World Of Suzie Wong,1961,0,3
2136,The Wrestler,2009,2,3
2137,The Year Long Road,1959,0,1
2138,The Yearling,1947,1,1
2139,The Yellow Rolls-Royce,1966,1,2
2140,Thelma & Louise,1992,1,4
2141,There Will Be Blood,2008,1,2
2142,There's Something About Mary,1999,0,2
2143,"They Shoot Horses, Don't They?",1970,1,6
2144,"Thief, The",1998,0,1
2145,Thirteen,2004,0,2
2146,This Could Be the Night,1958,0,1
2147,This Earth Is Mine,1960,0,1
2148,This Happy Feeling,1958,0,1
2149,This Property Is Condemned,1967,0,1
2150,This Sporting Life,1964,1,2
2151,"Thomas Crown Affair, The",1969,1,2
2152,Thoroughly Modern Millie,1968,1,5
2153,Those Magnificent Men in Their Flying Machines,1966,0,3
2154,"Thousand Clowns, A",1966,0,3
2155,"Three Billboards Outside Ebbing, Missouri",2018,4,6
2156,Three Colors: Red,1995,0,1
2157,Three Colours: Blue (Trois couleurs: Bleu) ,1994,0,3
2158,Three Days and a Child,1968,0,1
2159,Three Days of the Condor,1976,0,1
2160,"Three Faces of Eve, The",1958,1,1
2161,Three Little Words,1951,1,2
2162,"Three Musketeers, The",1975,1,2
2163,Throw Momma From The Train,1988,0,2
2164,"Ticklish Affair, A",1964,0,1
2165,Till Marriage Do Us Part,1980,0,1
2166,Time To Run,1974,0,1
2167,"Time to Kill, A",1997,0,1
2168,"Time to Love and a Time to Die, A",1959,0,2
2169,Tin Cup,1997,0,1
2170,Titanic,1998,4,8
2171,Tizoc,1958,1,1
2172,To Be or Not to Be,1984,0,2
2173,To Bed Or Not To Bed,1964,1,2
2174,To Die For,1996,1,1
2175,To Die of Love,1972,0,1
2176,To Kill A Mockingbird,1963,3,5
2177,To Live,1995,0,1
2178,"To Wong Foo, Thanks For Everything! Julie Newmar",1996,0,2
2179,Tom & Viv,1995,0,1
2180,Tom Jones,1964,1,7
2181,Tom Sawyer,1974,0,2
2182,Tom Thumb,1959,0,1
2183,Tommy,1976,1,3
2184,Tomorrow Never Dies,1998,0,1
2185,Toni Erdmann,2017,0,1
2186,"Too Much, Too Soon",1959,0,1
2187,Too Young To Kiss,1952,1,1
2188,Tootsie,1983,3,5
2189,Top Gun,1987,1,2
2190,Topkapi,1965,0,2
2191,"Touch of Class, A",1974,2,5
2192,Touched by Love,1981,0,1
2193,Tough Guys,1987,0,1
2194,"Tourist, The",2011,0,3
2195,Town Without Pity,1962,1,2
2196,"Town, The",2011,0,1
2197,Toy Story,1996,0,2
2198,Toy Story 2,2000,1,2
2199,Toy Story 3,2011,1,1
2200,Toys in the Attic,1964,0,2
2201,Trading Places,1984,0,2
2202,Traffic,2001,2,5
2203,Training Day,2002,0,1
2204,Trainwreck,2016,0,2
2205,Transamerica,2006,1,2
2206,Travels with My Aunt,1973,0,3
2207,"Traviata, La",1983,0,1
2208,Trial,1956,1,1
2209,Tribute,1981,0,1
2210,"Trip To Bountiful, The",1986,0,1
2211,Trolls,2017,0,1
2212,Tropic Thunder,2009,0,2
2213,"Trouble With Harry, The",1955,1,1
2214,True Grit,1970,1,3
2215,True Lies,1995,1,1
2216,Trumbo,2016,0,2
2217,Tsotsi,2006,0,1
2218,Tucker: The Man and His Dream,1989,1,1
2219,Tully,2019,0,1
2220,Tumbleweeds,2000,1,1
2221,Tunes of Glory,1961,0,1
2222,"Tunnel of Love, The",1959,0,1
2223,"Turning Point, The",1978,2,6
2224,Twelve Monkeys,1996,1,1
2225,Twenty-Four Eyes,1955,0,1
2226,Twice in a Lifetime,1986,0,2
2227,Twilight of Honor,1964,0,1
2228,Twins,1989,0,1
2229,Two Weeks In Another Town,1963,0,1
2230,Two Women,1962,1,1
2231,Two for the Road,1968,0,2
2232,"U.F.O.s: Past, Present and Future",1976,0,1
2233,"Ugly American, The",1964,0,2
2234,Ulee's Gold,1998,1,1
2235,Ulysses,1968,0,1
2236,"Unbearable Lightness of Being, The",1989,0,2
2237,Uncle Joe Shannon,1979,0,1
2238,Under Fire,1984,0,2
2239,Under The Tuscan Sun,2004,0,1
2240,Under The Volcano,1985,0,2
2241,Under The Yum Yum Tree,1964,0,2
2242,Unfaithful,2003,0,1
2243,Unforgiven,1993,2,4
2244,"Unmarried Woman, An",1979,0,5
2245,"Unsinkable Molly Brown, The",1965,1,3
2246,Until They Sail,1958,1,1
2247,"Untouchables, The",1988,1,2
2248,Up,2010,2,2
2249,Up Close & Personal,1997,0,1
2250,Up In The Air,2010,1,6
2251,Urban Cowboy,1981,0,2
2252,Used People,1993,0,2
2253,"Usual Suspects, The",1996,0,1
2254,"V. I. P.'s, The",1964,1,2
2255,Valley of the Dolls,1968,0,1
2256,Vanilla Sky,2002,0,2
2257,Venus,2007,0,1
2258,Vera Drake,2005,0,1
2259,"Verdict, The",1983,0,5
