Films,Year,Oscars,Nominations
Batman Begins,2006,0,1
Batman Forever,1996,0,3
Batman Returns,1993,0,2
Battle Cry,1956,0,1
Battle of Berlin,1974,0,1
Battleground,1950,2,6
Beach Red,1968,0,1
Beaches,1989,0,1
Bear Country,1954,1,1
Bear Story,2016,1,1
Beasts of the Southern Wild,2013,0,4
Beau Geste,1940,0,2
Beaufort,2008,0,1
Beauty and the Beach,1942,0,1
Beauty and the Beast,1992,2,8
Beauty and the Bull,1955,0,1
Because You're Mine,1953,0,1
Becket,1965,1,12
Becky Sharp,1936,0,1
Bedknobs and Broomsticks,1972,1,5
Beep Prepared,1962,0,1
Beethoven's 2nd,1994,0,1
Beetlejuice,1989,1,1
Before Midnight,2014,0,1
Before Night Falls,2001,0,1
Before Sunset,2005,0,1
Before the Mountain Was Moved,1970,0,1
Before the Rain,1995,0,1
Begin Again,2015,0,1
Beginners,2012,1,1
Behind the News,1941,0,1
Being John Malkovich,2000,0,3
Being Julia,2005,0,1
Being There,1980,1,2
"Bell, Book and Candle",1959,0,2
Belle Epoque,1994,1,1
Belle of the Yukon,1946,0,2
Bells Are Ringing,1961,0,1
Beloved,1999,0,1
Ben,1973,0,1
Ben and Me,1954,0,1
Ben's Mill,1983,0,1
Ben-Hur,1960,11,12
Beneath the 12-Mile Reef,1954,0,1
Benji,1975,0,1
Benjy,1952,1,1
Berkeley Square,1934,0,1
Berkeley in the Sixties,1991,0,1
Best Boy,1980,1,1
Best Friends,1983,0,1
Betrayal,1984,0,1
Betty Blue,1987,0,1
Between Heaven and Hell,1957,0,1
Between the Tides,1960,0,1
Beverly Hills Cop,1985,0,1
Beverly Hills Cop II,1988,0,1
"Beyond Imagining: Margaret Anderson and the ""Little Review""",1993,0,1
Beyond Silence,['1961' '1998'],0,2
Beyond the Forest,1950,0,1
Beyond the Lights,2015,0,1
Beyond the Line of Duty,1943,1,1
Beyond the Walls,1985,0,1
Bicentennial Man,2000,0,1
Big,1989,0,2
Big Broadcast of 1936,1936,0,1
Big City Blues,1963,0,1
Big Fish,2004,0,1
Big Hero 6,2015,1,1
Big Mama,2001,1,1
Billy Budd,1963,0,1
Billy Elliot,2001,0,3
Billy Rose's Jumbo,1963,0,1
Billy the Kid,1942,0,1
Binta and the Great Idea (Binta Y La Gran Idea),2007,0,1
Birch Street Gym,1992,0,1
Bird,1989,1,1
Birdman of Alcatraz,1963,0,4
Birdman or (The Unexpected Virtue of Ignorance),2015,4,9
"Birdnesters of Thailand (aka ""Shadow Hunters"")",1992,0,1
Birds Anonymous,1958,1,1
"Birds Do It, Bees Do It",1976,0,1
Birth of the Blues,1942,0,1
Birthday Boy,2005,0,1
Bite the Bullet,1976,0,2
Bitter Rice,1951,0,1
Bitter Sweet,1941,0,2
Biutiful,2011,0,2
BlacKkKlansman,2019,1,6
Black Fox,1963,1,1
Black Fury,1936,0,1
Black Hawk Down,2002,2,4
Black Legion,1938,0,1
Black Narcissus,1948,2,2
Black Orpheus,1960,1,1
Black Panther,2019,3,6
Black Rain,1990,0,2
Black Rider (Schwarzfahrer),1994,1,1
Black Sheep,2019,0,1
Black Swan,2011,1,5
Black and White in Color,1977,1,1
Blackboard Jungle,1956,0,4
Blackfly,1992,0,1
Blackwood,1977,0,1
Blade Runner,1983,0,2
Blade Runner 2049,2018,2,5
Blake,1970,0,1
Blaze,1990,0,1
Blaze Busters,1951,0,1
Blazing Saddles,1975,0,3
Bless the Beasts & Children,1972,0,1
Blind Vaysha,2017,0,1
Blindscape,1994,0,1
Blithe Spirit,1947,1,1
Blitz Wolf,1943,0,1
Block-Heads,1939,0,1
Blockade,1939,0,2
Blood Diamond,2007,0,5
Blood Ties: The Life and Work of Sally Mann,1994,0,1
Blood and Sand,1942,1,2
Blood on the Land,1966,0,1
Blood on the Sun,1946,1,1
Bloodbrothers,1979,0,1
Blossoms in the Dust,1942,1,4
Blow-Up,1967,0,2
Blue Grass Gentlemen,1945,0,1
Blue Jasmine,2014,1,3
Blue Skies,1947,0,2
Blue Sky,1995,1,1
Blue Thunder,1984,0,1
Blue Valentine,2011,0,1
Blue Velvet,1987,0,1
Blues Highway,1995,0,1
Blues in the Night,1942,0,1
Board and Care,1980,1,1
Bob & Carol & Ted & Alice,1970,0,4
Bob's Birthday,1995,1,1
Body Team 12,2016,0,1
Body and Soul,1948,1,3
Bohemian Rhapsody,2019,4,5
Bolt,2009,0,1
Bombalera,1945,0,1
Bombardier,1944,0,1
Bomber,1942,0,1
Bon Voyage!,1963,0,2
Bonnie and Clyde,1968,2,10
Boogaloo and Graham,2015,0,1
Boogie Nights,1998,0,3
Boogie Woogie Bugle Boy of Company B,1942,0,1
Boom Town,1941,0,2
Boomerang!,1948,0,1
Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2007,0,1
Border,2019,0,1
Bored of Education,1937,1,1
Born Free,1967,2,2
Born Yesterday,1951,1,5
Born into Brothels,2005,1,1
Born on the Fourth of July,1990,2,8
Born to Dance,1937,0,2
Borrowed Time,2017,0,1
Bosom Friends,1935,0,1
Bound for Glory,1977,2,6
Boundin',2004,0,1
Bowling for Columbine,2003,1,1
Boy and the World,2016,0,1
Boy on a Dolphin,1958,0,1
Boyhood,2015,1,6
Boys Don't Cry,2000,1,2
Boys Town,1939,2,5
Boys and Girls,1984,1,1
Boyz N the Hood,1992,0,2
Bram Stoker's Dracula,1993,2,3
Brave,2013,1,1
Brave Little Tailor,1939,0,1
Braveheart,1996,5,10
Bravery in the Field,1980,0,1
Brazil,1945,0,5
"Bread, Love and Dreams",1955,0,1
Breaker Morant,1981,0,1
Breakfast at Tiffany's,1962,2,5
Breaking Away,1980,1,5
Breaking the Habit,1965,0,1
Breaking the Ice,1939,0,1
Breaking the Language Barrier,1962,0,1
Breaking the Sound Barrier,1953,1,2
Breaking the Waves,1997,0,1
Breathing Lessons: The Life and Work of Mark O'Brien,1997,1,1
Brewster's Millions,1946,0,1
Bride of Frankenstein,1936,0,1
Bridesmaids,2012,0,2
Bridge of Spies,2016,1,6
Bridge of Time,1953,0,1
Bridget Jones's Diary,2002,0,1
Brief Encounter,1947,0,3
Brigadoon,1955,0,3
Bright Star,2010,0,1
Bright Victory,1952,0,2
Broadcast News,1988,0,7
Broadway Danny Rose,1985,0,2
Broadway Hostess,1936,0,1
Broadway Melody of 1936,1936,1,3
Brokeback Mountain,2006,3,8
Broken Arrow,1951,0,3
Broken Lance,1955,1,2
Broken Rainbow,1986,1,1
Bronx Cheers,1991,0,1
Brooklyn,2016,0,3
Brooklyn Bridge,1982,0,1
"Brooklyn, U.S.A.",1948,0,1
Brooms,1996,0,1
"Bror, Min Bror (Teis and Nico)",2000,0,1
Brother Bear,2004,0,1
Brother Sun Sister Moon,1974,0,1
Brubaker,1981,0,1
Buck Privates,1942,0,2
Buena Vista Social Club,2000,0,1
Bugsy,1992,2,10
Bugsy Malone,1977,0,1
Building Bombs,1991,0,1
Building a Building,1934,0,1
Bull Durham,1989,0,1
Bulldog Drummond,1931,0,2
Bullets over Broadway,1995,1,7
Bullfighter and the Lady,1952,0,1
Bullhead,2012,0,1
Bullitt,1969,1,2
Bulworth,1999,0,1
Bunny,1999,1,1
Burma VJ,2010,0,1
Burning Down Tomorrow,1991,0,1
Burnt by the Sun,1995,1,1
Bus Stop,1957,0,1
Buster,1989,0,1
Busy Little Bears,1940,1,1
Butch Cassidy and the Sundance Kid,1970,4,7
Butch and Sundance: The Early Days,1980,0,1
Butter Lamp (La Lampe Au Beurre De Yak),2015,0,1
Butterfield 8,1961,1,2
Butterflies Are Free,1973,1,3
Buzkashi Boys,2013,0,1
By Courier,2001,0,1
Bye Bye Birdie,1964,0,2
Cabaret,1973,8,10
Cabin in the Sky,1944,0,1
Cactus Flower,1970,1,1
Cadillac Dreams,1989,0,1
Caesar and Cleopatra,1947,0,1
Caged,1951,0,3
Cain and Mabel,1937,0,1
Calamity Jane,1954,1,3
Calgary Stampede,1949,0,1
California Suite,1979,1,3
Call Me Madam,1954,1,2
Call Me by Your Name,2018,1,3
Camelot,1968,3,5
Camera Thrills,1936,0,1
Camila,1985,0,1
Camille,1938,0,1
Camille Claudel,1990,0,2
Can You Ever Forgive Me?,2019,0,3
Can't Help Singing,1946,0,2
Can't Stop The Feeling,2017,0,1
Can-Can,1961,0,2
Canhead,1997,0,1
Canyon Passage,1947,0,1
Cape Fear,1992,0,2
Capernaum,2019,0,1
Capote,2006,1,5
Captain America: The Winter Soldier,2015,0,1
Captain Blood,1936,0,5
"Captain Carey, U.S.A.",1951,1,1
Captain Caution,1941,0,1
Captain Eddie,1946,0,1
Captain Fantastic,2017,0,1
Captain Fury,1940,0,1
Captain Kidd,1946,0,1
"Captain Newman, M.D.",1964,0,3
Captain Phillips,2014,0,6
Captain from Castile,1948,0,1
Captains Courageous,1938,1,4
Captains of the Clouds,1943,0,2
Capturing the Friedmans,2004,0,1
Caravan,2000,0,1
Caravans,1979,0,1
Career,1960,0,3
Carefree,1939,0,3
Carmen,1984,0,1
Carmen Jones,1955,0,2
Carnal Knowledge,1972,0,1
Carol,2016,0,6
Carrie,['1953' '1977'],0,4
Cars,2007,0,2
Cartel Land,2016,0,1
Casablanca,1944,3,8
Casals Conducts: 1964,1965,1,1
Casanova '70,1966,0,1
Casanova Brown,1945,0,3
Casbah,1949,0,1
Cashback,2006,0,1
Casino,1996,0,1
Casino Royale,1968,0,1
Cast Away,2001,0,2
Cat Ballou,1966,1,5
Cat on a Hot Tin Roof,1959,0,6
Catch Me If You Can,2003,0,2
Cats' Play,1975,0,1
Cavalcade,1934,3,4
Cavalcade of Dance with Veloz and Yolanda,1944,0,1
CaveDigger,2014,0,1
Centennial Summer,1947,0,2
Central Station,1999,0,2
Chagall,1964,1,1
Champagne for Two,1948,0,1
Champion,1950,1,6
Champions Carry On,1944,0,1
Chances Are,1990,0,1
Chang,1929,0,1
Changeling,2009,0,3
Changing Our Minds: The Story of Dr. Evelyn Hooker,1993,0,1
Chaplin,1993,0,3
Chapter Two,1980,0,1
Character,1998,1,1
Charade,['1964' '1985'],1,2
Chariots of Fire,1982,4,7
Chariots of the Gods,1971,0,1
Charlie Wilson's War,2008,0,1
Charlie and the Chocolate Factory,2006,0,1
Charly,1969,1,1
Chase of Death,1950,0,1
Chasing Ice,2013,0,1
"Chau, beyond the Lines",2016,0,1
Cheers for Miss Bishop,1942,0,1
Chernobyl Heart,2004,1,1
Cheyenne Autumn,1965,0,1
Chicago,2003,6,13
Chicks in White Satin,1994,0,1
Chico & Rita,2012,0,1
Children Underground,2002,0,1
Children Without,1965,0,1
Children at Work (Paisti Ag Obair),1974,0,1
Children of Darkness,1984,0,1
Children of Fate,1994,0,1
Children of Heaven,1999,0,1
Children of Mars,1944,0,1
Children of Men,2007,0,3
Children of Nature,1992,0,1
Children of Paradise,1947,0,1
Children of a Lesser God,1987,1,5
Chile: Hasta Cuando?,1987,0,1
Chimps: So Like Us,1991,0,1
China's Unnatural Disaster: The Tears of Sichuan Province,2010,0,1
Chinatown,1975,1,11
Chip An' Dale,1948,0,1
Chitty Chitty Bang Bang,1969,0,1
Chocolat,2001,0,5
Chopin's Musical Moments,1947,0,1
Christ among the Primitives,1954,0,1
Christmas Cracker,1965,0,1
Christmas Holiday,1945,0,1
Christmas under Fire,1942,0,1
Christo's Valley Curtain,1974,0,1
Christopher Crumpet,1954,0,1
Christopher Robin,2019,0,1
Churchill's Island,1942,1,1
Cimarron,1932,3,9
Cinderella,1951,0,4
Cinderella Horse,1949,0,1
Cinderella Liberty,1974,0,3
Cinderella Man,2006,0,3
Cinema Paradiso,1990,1,1
Citizen Kane,1942,1,9
CitizenFour,2015,1,1
City Out of Wilderness,1975,0,1
City Slickers,1992,1,1
City of God,2004,0,4
City of Gold,1958,0,1
City of Stars,2017,1,1
City of Wax,1935,1,1
Claude Lanzmann: Spectres of the Shoah,2016,0,1
Claudelle Inglish,1962,0,1
Claudine,1975,0,1
Clay or The Origin of Species,1966,0,1
Clear and Present Danger,1995,0,2
Cleopatra,1964,5,14
Click,2007,0,1
Cliffhanger,1994,0,3
Climb,1975,0,1
Climbing the Matterhorn,1948,1,1
Clockmaker,1974,0,1
Close Encounters of the Third Kind,1978,1,8
Close Harmony,1982,1,1
Close to Eden,1993,0,1
Closed Mondays,1975,1,1
Closely Watched Trains,1968,1,1
Closer,2005,0,2
Coal Miner's Daughter,1981,1,7
Coco,2018,1,1
Coco before Chanel,2010,0,1
Cocoon,1986,2,2
