,title,GoldenGlobes,Nominations_GoldenGlobes,Oscars,Nominations_Oscars
182,antman,0.0,0.0,0.0,0.0
183,the hunger games catching fire,0.0,1.0,0.0,0.0
184,home,0.0,0.0,0.0,0.0
185,war of the worlds,0.0,0.0,0.0,3.0
186,bad boys ii,0.0,0.0,0.0,0.0
187,puss in boots,0.0,1.0,0.0,1.0
188,salt,0.0,0.0,0.0,1.0
189,noah,0.0,1.0,0.0,0.0
190,the adventures of tintin,1.0,1.0,0.0,1.0
191,harry potter and the prisoner of azkaban,0.0,0.0,0.0,2.0
192,australia,0.0,0.0,0.0,1.0
193,after earth,0.0,0.0,0.0,0.0
194,dinosaur,0.0,0.0,0.0,0.0
195,night at the museum secret of the tomb,0.0,0.0,0.0,0.0
196,megamind,0.0,0.0,0.0,0.0
197,harry potter and the philosophers stone,0.0,0.0,0.0,0.0
198,ripd,0.0,0.0,0.0,0.0
199,pirates of the caribbean the curse of the black pearl,0.0,1.0,0.0,5.0
200,the hunger games mockingjay  part 1,0.0,1.0,0.0,0.0
201,the da vinci code,0.0,1.0,0.0,0.0
202,rio 2,0.0,0.0,0.0,0.0
203,x2,0.0,0.0,0.0,0.0
204,fast five,0.0,0.0,0.0,0.0
205,sherlock holmes a game of shadows,0.0,0.0,0.0,0.0
206,clash of the titans,0.0,0.0,0.0,0.0
207,total recall,0.0,0.0,0.0,2.0
208,the 13th warrior,0.0,0.0,0.0,0.0
209,the bourne legacy,0.0,0.0,0.0,0.0
210,batman  robin,0.0,0.0,0.0,0.0
211,how the grinch stole christmas,0.0,0.0,0.0,0.0
212,the day after tomorrow,0.0,0.0,0.0,0.0
213,mission impossible ii,0.0,0.0,0.0,0.0
214,the perfect storm,0.0,0.0,0.0,2.0
215,fantastic 4 rise of the silver surfer,0.0,0.0,0.0,0.0
216,life of pi,1.0,3.0,4.0,11.0
217,ghost rider,0.0,0.0,0.0,0.0
218,jason bourne,0.0,0.0,0.0,0.0
219,charlies angels full throttle,0.0,0.0,0.0,0.0
220,prometheus,0.0,0.0,0.0,1.0
221,stuart little 2,0.0,0.0,0.0,0.0
222,elysium,0.0,0.0,0.0,0.0
223,the chronicles of riddick,0.0,0.0,0.0,0.0
224,robocop,0.0,0.0,0.0,0.0
225,speed racer,0.0,0.0,0.0,0.0
226,how do you know,0.0,0.0,0.0,0.0
227,knight and day,0.0,0.0,0.0,0.0
228,oblivion,0.0,0.0,0.0,0.0
229,star wars episode iii  revenge of the sith,0.0,0.0,0.0,0.0
230,star wars episode ii  attack of the clones,0.0,0.0,0.0,0.0
231,monsters inc,0.0,0.0,1.0,4.0
232,the wolverine,0.0,0.0,0.0,0.0
233,star wars episode i  the phantom menace,0.0,0.0,0.0,0.0
234,the croods,0.0,1.0,0.0,1.0
235,asterix at the olympic games,0.0,0.0,0.0,0.0
236,windtalkers,0.0,0.0,0.0,0.0
237,the huntsman winters war,0.0,0.0,0.0,0.0
238,teenage mutant ninja turtles,0.0,0.0,0.0,0.0
239,gravity,1.0,4.0,7.0,10.0
240,dantes peak,0.0,0.0,0.0,0.0
241,teenage mutant ninja turtles out of the shadows,0.0,0.0,0.0,0.0
242,fantastic four,0.0,0.0,0.0,0.0
243,night at the museum,0.0,0.0,0.0,0.0
244,san andreas,0.0,0.0,0.0,0.0
245,tomorrow never dies,0.0,1.0,0.0,0.0
246,the patriot,0.0,0.0,0.0,3.0
247,oceans twelve,0.0,0.0,0.0,0.0
248,mr  mrs smith,0.0,0.0,0.0,0.0
249,insurgent,0.0,0.0,0.0,0.0
250,the aviator,3.0,6.0,5.0,11.0
251,gullivers travels,0.0,0.0,0.0,0.0
252,the green hornet,0.0,0.0,0.0,0.0
253,300 rise of an empire,0.0,0.0,0.0,0.0
254,the smurfs,0.0,0.0,0.0,0.0
255,home on the range,0.0,0.0,0.0,0.0
256,allegiant,0.0,0.0,0.0,0.0
257,real steel,0.0,0.0,0.0,1.0
258,the smurfs 2,0.0,0.0,0.0,0.0
259,speed 2 cruise control,0.0,0.0,0.0,0.0
260,enders game,0.0,0.0,0.0,0.0
261,live free or die hard,0.0,0.0,0.0,0.0
262,the lord of the rings the fellowship of the ring,0.0,4.0,4.0,13.0
263,around the world in 80 days,0.0,0.0,0.0,0.0
264,ali,0.0,3.0,0.0,2.0
265,the cat in the hat,0.0,0.0,0.0,0.0
266,i robot,0.0,0.0,0.0,1.0
267,kingdom of heaven,0.0,0.0,0.0,0.0
268,stuart little,0.0,0.0,0.0,1.0
269,the princess and the frog,0.0,1.0,0.0,3.0
270,the martian,2.0,3.0,0.0,7.0
271,the island,0.0,0.0,0.0,0.0
272,town  country,0.0,0.0,0.0,0.0
273,gone in sixty seconds,0.0,0.0,0.0,0.0
274,gladiator,2.0,6.0,5.0,12.0
275,minority report,0.0,0.0,0.0,1.0
276,harry potter and the chamber of secrets,0.0,0.0,0.0,0.0
277,casino royale,0.0,0.0,0.0,0.0
278,planet of the apes,0.0,0.0,0.0,0.0
279,terminator 2 judgment day,0.0,0.0,4.0,6.0
280,public enemies,0.0,0.0,0.0,0.0
281,american gangster,0.0,3.0,0.0,2.0
282,true lies,1.0,1.0,0.0,1.0
283,the taking of pelham 1 2 3,0.0,0.0,0.0,0.0
284,little fockers,0.0,0.0,0.0,0.0
285,the other guys,0.0,0.0,0.0,0.0
286,eraser,0.0,0.0,0.0,1.0
287,django unchained,2.0,5.0,2.0,5.0
288,the hunchback of notre dame,0.0,1.0,0.0,1.0
289,the emperors new groove,0.0,1.0,0.0,1.0
290,the expendables 2,0.0,0.0,0.0,0.0
291,national treasure,0.0,0.0,0.0,0.0
292,eragon,0.0,0.0,0.0,0.0
293,where the wild things are,0.0,1.0,0.0,0.0
294,epic,0.0,0.0,0.0,0.0
295,the tourist,0.0,3.0,0.0,0.0
296,end of days,0.0,0.0,0.0,0.0
297,blood diamond,0.0,1.0,0.0,5.0
298,the wolf of wall street,1.0,2.0,0.0,5.0
299,batman forever,0.0,1.0,0.0,3.0
300,starship troopers,0.0,0.0,0.0,1.0
301,cloud atlas,0.0,1.0,0.0,0.0
302,legend of the guardians the owls of gahoole,0.0,0.0,0.0,0.0
303,catwoman,0.0,0.0,0.0,0.0
304,hercules,0.0,0.0,0.0,0.0
305,treasure planet,0.0,0.0,0.0,1.0
306,land of the lost,0.0,0.0,0.0,0.0
307,the expendables 3,0.0,0.0,0.0,0.0
308,point break,0.0,0.0,0.0,0.0
309,son of the mask,0.0,0.0,0.0,0.0
310,in the heart of the sea,0.0,0.0,0.0,0.0
311,the adventures of pluto nash,0.0,0.0,0.0,0.0
312,green zone,0.0,0.0,0.0,0.0
313,the peanuts movie,0.0,1.0,0.0,0.0
314,the spanish prisoner,0.0,0.0,0.0,0.0
315,the mummy returns,0.0,0.0,0.0,0.0
316,gangs of new york,2.0,5.0,0.0,10.0
317,the flowers of war,0.0,1.0,0.0,0.0
318,surfs up,0.0,0.0,0.0,1.0
319,the stepford wives,0.0,0.0,0.0,0.0
320,black hawk down,0.0,0.0,2.0,4.0
321,the campaign,0.0,0.0,0.0,0.0
322,the fifth element,0.0,0.0,0.0,1.0
323,sex and the city 2,0.0,0.0,0.0,0.0
324,the road to el dorado,0.0,0.0,0.0,0.0
325,ice age continental drift,0.0,0.0,0.0,0.0
326,cinderella,0.0,0.0,0.0,1.0
327,the lovely bones,0.0,1.0,0.0,1.0
328,finding nemo,0.0,1.0,1.0,4.0
329,the lord of the rings the return of the king,4.0,4.0,11.0,11.0
330,the lord of the rings the two towers,0.0,2.0,2.0,6.0
331,seventh son,0.0,0.0,0.0,0.0
332,lara croft tomb raider,0.0,0.0,0.0,0.0
333,transcendence,0.0,0.0,0.0,0.0
334,jurassic park iii,0.0,0.0,0.0,0.0
335,rise of the planet of the apes,0.0,0.0,0.0,1.0
336,the spiderwick chronicles,0.0,0.0,0.0,0.0
337,a good day to die hard,0.0,0.0,0.0,0.0
338,the alamo,0.0,0.0,0.0,0.0
339,the incredibles,0.0,1.0,2.0,4.0
340,cutthroat island,0.0,0.0,0.0,0.0
341,percy jackson  the olympians the lightning thief,0.0,0.0,0.0,0.0
342,men in black,0.0,1.0,1.0,3.0
343,toy story 2,1.0,2.0,0.0,1.0
344,unstoppable,0.0,0.0,0.0,1.0
345,rush hour 2,0.0,0.0,0.0,0.0
346,what lies beneath,0.0,0.0,0.0,0.0
347,cloudy with a chance of meatballs,0.0,1.0,0.0,0.0
348,ice age dawn of the dinosaurs,0.0,0.0,0.0,0.0
349,the secret life of walter mitty,0.0,0.0,0.0,0.0
350,charlies angels,0.0,0.0,0.0,0.0
351,the departed,1.0,6.0,4.0,5.0
352,mulan,0.0,2.0,0.0,1.0
353,tropic thunder,0.0,2.0,0.0,1.0
354,the girl with the dragon tattoo,0.0,2.0,1.0,5.0
355,die hard with a vengeance,0.0,0.0,0.0,0.0
356,sherlock holmes,1.0,1.0,0.0,2.0
357,benhur,0.0,0.0,0.0,0.0
358,atlantis the lost empire,0.0,0.0,0.0,0.0
359,alvin and the chipmunks the road chip,0.0,0.0,0.0,0.0
360,valkyrie,0.0,0.0,0.0,0.0
361,you dont mess with the zohan,0.0,0.0,0.0,0.0
362,pixels,0.0,0.0,0.0,0.0
363,ai artificial intelligence,0.0,0.0,0.0,2.0
364,the haunted mansion,0.0,0.0,0.0,0.0
365,contact,0.0,1.0,0.0,1.0
366,hollow man,0.0,0.0,0.0,1.0
367,the interpreter,0.0,0.0,0.0,0.0
368,percy jackson sea of monsters,0.0,0.0,0.0,0.0
369,lara croft tomb raider the cradle of life,0.0,0.0,0.0,0.0
370,now you see me 2,0.0,0.0,0.0,0.0
371,the saint,0.0,0.0,0.0,0.0
372,spy game,0.0,0.0,0.0,0.0
373,mission to mars,0.0,0.0,0.0,0.0
374,rio,0.0,0.0,0.0,1.0
375,bicentennial man,0.0,0.0,0.0,1.0
376,volcano,0.0,0.0,0.0,0.0
377,the devils own,0.0,0.0,0.0,0.0
378,k19 the widowmaker,0.0,0.0,0.0,0.0
379,conan the barbarian,1.0,1.0,0.0,0.0
380,cinderella man,0.0,2.0,0.0,3.0
381,the nutcracker the untold story,0.0,0.0,0.0,0.0
382,seabiscuit,0.0,2.0,0.0,7.0
383,twister,0.0,0.0,0.0,2.0
384,cast away,1.0,1.0,0.0,2.0
385,happy feet,1.0,2.0,1.0,1.0
386,the bourne supremacy,0.0,0.0,0.0,0.0
387,air force one,0.0,0.0,0.0,2.0
388,oceans eleven,0.0,0.0,0.0,0.0
389,the three musketeers,0.0,0.0,0.0,0.0
390,hotel transylvania,0.0,1.0,0.0,0.0
391,enchanted,0.0,2.0,0.0,3.0
392,safe house,0.0,0.0,0.0,0.0
393,102 dalmatians,0.0,0.0,0.0,1.0
394,tower heist,0.0,0.0,0.0,0.0
395,the holiday,0.0,0.0,0.0,0.0
396,enemy of the state,0.0,0.0,0.0,0.0
397,its complicated,0.0,3.0,0.0,0.0
398,oceans thirteen,0.0,0.0,0.0,0.0
399,open season,0.0,0.0,0.0,0.0
400,divergent,0.0,0.0,0.0,0.0
401,enemy at the gates,0.0,0.0,0.0,0.0
402,the rundown,0.0,0.0,0.0,0.0
403,last action hero,0.0,0.0,0.0,0.0
404,memoirs of a geisha,1.0,2.0,3.0,6.0
405,the fast and the furious tokyo drift,0.0,0.0,0.0,0.0
406,arthur christmas,0.0,1.0,0.0,0.0
407,meet joe black,0.0,0.0,0.0,0.0
408,collateral damage,0.0,0.0,0.0,0.0
409,all that jazz,0.0,1.0,4.0,9.0
410,mirror mirror,0.0,0.0,0.0,1.0
411,scott pilgrim vs the world,0.0,0.0,0.0,0.0
412,the core,0.0,0.0,0.0,0.0
413,nutty professor ii the klumps,0.0,0.0,0.0,0.0
414,scoobydoo,0.0,0.0,0.0,0.0
415,dredd,0.0,0.0,0.0,0.0
416,click,0.0,0.0,0.0,1.0
417,creepshow,0.0,0.0,0.0,0.0
418,cats  dogs 2  the revenge of kitty galore,0.0,0.0,0.0,0.0
419,jumper,0.0,0.0,0.0,0.0
420,hellboy ii the golden army,0.0,0.0,0.0,1.0
421,zodiac,0.0,0.0,0.0,0.0
422,the 6th day,0.0,0.0,0.0,0.0
423,bruce almighty,0.0,0.0,0.0,0.0
424,the expendables,0.0,0.0,0.0,0.0
425,mission impossible,0.0,0.0,0.0,0.0
426,the hunger games,0.0,1.0,0.0,0.0
427,the hangover part ii,0.0,0.0,0.0,0.0
428,batman returns,0.0,0.0,0.0,2.0
429,over the hedge,0.0,0.0,0.0,0.0
430,lilo  stitch,0.0,0.0,0.0,1.0
431,charlottes web,0.0,0.0,0.0,0.0
432,deep impact,0.0,0.0,0.0,0.0
433,red 2,0.0,0.0,0.0,0.0
434,the longest yard,0.0,0.0,0.0,0.0
435,alvin and the chipmunks chipwrecked,0.0,0.0,0.0,0.0
436,grown ups 2,0.0,0.0,0.0,0.0
437,get smart,0.0,0.0,0.0,0.0
438,somethings gotta give,1.0,2.0,0.0,1.0
439,shutter island,0.0,0.0,0.0,0.0
440,four christmases,0.0,0.0,0.0,0.0
441,robots,0.0,0.0,0.0,0.0
442,faceoff,0.0,0.0,0.0,1.0
443,bedtime stories,0.0,0.0,0.0,0.0
444,road to perdition,0.0,1.0,1.0,6.0
445,just go with it,0.0,0.0,0.0,0.0
446,con air,0.0,0.0,0.0,2.0
447,eagle eye,0.0,0.0,0.0,0.0
448,cold mountain,1.0,8.0,1.0,7.0
449,the book of eli,0.0,0.0,0.0,0.0
450,flubber,0.0,0.0,0.0,0.0
451,the haunting,0.0,0.0,0.0,0.0
452,space jam,0.0,0.0,0.0,0.0
453,the pink panther,0.0,0.0,0.0,0.0
454,the day the earth stood still,0.0,0.0,0.0,0.0
455,conspiracy theory,0.0,0.0,0.0,0.0
456,fury,0.0,0.0,0.0,0.0
457,six days seven nights,0.0,0.0,0.0,0.0
458,yogi bear,0.0,0.0,0.0,0.0
459,spirit stallion of the cimarron,0.0,1.0,0.0,1.0
460,zookeeper,0.0,0.0,0.0,0.0
461,lost in space,0.0,0.0,0.0,0.0
462,the manchurian candidate,0.0,1.0,0.0,0.0
463,déjà vu,0.0,0.0,0.0,0.0
464,hotel transylvania 2,0.0,0.0,0.0,0.0
465,fantasia 2000,0.0,0.0,0.0,0.0
466,the time machine,0.0,0.0,0.0,1.0
467,mighty joe young,0.0,0.0,0.0,1.0
468,swordfish,0.0,0.0,0.0,0.0
469,the legend of zorro,0.0,0.0,0.0,0.0
470,what dreams may come,0.0,0.0,1.0,2.0
471,little nicky,0.0,0.0,0.0,0.0
472,the brothers grimm,0.0,0.0,0.0,0.0
473,mars attacks,0.0,0.0,0.0,0.0
474,evolution,0.0,0.0,0.0,0.0
475,the edge,0.0,0.0,0.0,0.0
476,surrogates,0.0,0.0,0.0,0.0
477,thirteen days,0.0,0.0,0.0,0.0
478,daylight,0.0,0.0,0.0,1.0
479,walking with dinosaurs,0.0,0.0,0.0,0.0
480,battlefield earth,0.0,0.0,0.0,0.0
481,looney tunes back in action,0.0,0.0,0.0,0.0
482,nine,0.0,5.0,0.0,4.0
483,timeline,0.0,0.0,0.0,0.0
484,the postman,0.0,0.0,0.0,0.0
485,babe pig in the city,0.0,0.0,0.0,1.0
486,the last witch hunter,0.0,0.0,0.0,0.0
487,red planet,0.0,0.0,0.0,0.0
488,arthur and the invisibles,0.0,0.0,0.0,0.0
489,oceans,0.0,0.0,0.0,0.0
490,a sound of thunder,0.0,0.0,0.0,0.0
491,pompeii,0.0,0.0,0.0,0.0
492,top cat begins,0.0,0.0,0.0,0.0
493,a beautiful mind,4.0,6.0,4.0,8.0
494,the lion king,3.0,4.0,2.0,4.0
495,journey 2 the mysterious island,0.0,0.0,0.0,0.0
496,cloudy with a chance of meatballs 2,0.0,0.0,0.0,0.0
497,red dragon,0.0,0.0,0.0,0.0
498,hidalgo,0.0,0.0,0.0,0.0
499,jack and jill,0.0,0.0,0.0,0.0
500,2 fast 2 furious,0.0,0.0,0.0,0.0
501,the little prince,0.0,0.0,0.0,0.0
502,the invasion,0.0,0.0,0.0,0.0
503,the adventures of rocky  bullwinkle,0.0,0.0,0.0,0.0
504,the secret life of pets,0.0,0.0,0.0,0.0
505,the league of extraordinary gentlemen,0.0,0.0,0.0,0.0
506,despicable me 2,0.0,1.0,0.0,2.0
507,independence day,0.0,0.0,1.0,2.0
508,the lost world jurassic park,0.0,0.0,0.0,1.0
509,madagascar,0.0,0.0,0.0,0.0
510,children of men,0.0,0.0,0.0,3.0
511,xmen,0.0,0.0,0.0,0.0
512,wanted,0.0,0.0,0.0,2.0
513,the rock,0.0,0.0,0.0,1.0
514,ice age the meltdown,0.0,0.0,0.0,0.0
515,50 first dates,0.0,0.0,0.0,0.0
516,hairspray,0.0,3.0,0.0,0.0
517,exorcist the beginning,0.0,0.0,0.0,0.0
518,inspector gadget,0.0,0.0,0.0,0.0
519,now you see me,0.0,0.0,0.0,0.0
520,grown ups,0.0,0.0,0.0,0.0
521,the terminal,0.0,0.0,0.0,0.0
522,hotel for dogs,0.0,0.0,0.0,0.0
523,vertical limit,0.0,0.0,0.0,0.0
524,charlie wilsons war,0.0,5.0,0.0,1.0
525,shark tale,0.0,0.0,0.0,1.0
526,dreamgirls,3.0,5.0,2.0,8.0
527,be cool,0.0,0.0,0.0,0.0
528,munich,0.0,2.0,0.0,5.0
529,tears of the sun,0.0,0.0,0.0,0.0
530,killers,0.0,0.0,0.0,0.0
531,the man from uncle,0.0,0.0,0.0,0.0
532,spanglish,0.0,1.0,0.0,0.0
533,monster house,0.0,1.0,0.0,1.0
534,bandits,0.0,2.0,0.0,0.0
535,first knight,0.0,0.0,0.0,0.0
536,anna and the king,0.0,2.0,0.0,2.0
537,immortals,0.0,0.0,0.0,0.0
538,hostage,0.0,0.0,0.0,0.0
539,titan ae,0.0,0.0,0.0,0.0
540,hollywood homicide,0.0,0.0,0.0,0.0
541,soldier,0.0,0.0,0.0,0.0
542,carriers,0.0,0.0,0.0,0.0
543,monkeybone,0.0,0.0,0.0,0.0
544,flight of the phoenix,0.0,0.0,0.0,0.0
545,unbreakable,0.0,0.0,0.0,0.0
546,minions,0.0,0.0,0.0,0.0
547,sucker punch,0.0,0.0,0.0,0.0
548,snake eyes,0.0,0.0,0.0,0.0
549,sphere,0.0,0.0,0.0,0.0
550,the angry birds movie,0.0,0.0,0.0,0.0
