,Films,Year,Oscars,Nominations
1533,Hiawatha's Rabbit Hunt,1942,0,1
1534,Hidden Figures,2017,0,3
1535,Hide-Out,1935,0,1
1536,High Grass Circus,1978,0,1
1537,High Noon,1953,4,7
1538,High Note,1961,0,1
1539,High Schools,1985,0,1
1540,High Society,1957,0,2
1541,High Stakes in the East,1943,0,1
1542,High Time,1961,0,1
1543,High over the Borders,1943,0,1
1544,Higher and Higher,1945,0,2
1545,Hilary and Jackie,1999,0,2
1546,"Hiroshima, Mon Amour",1961,0,1
1547,His Butler's Sister,1945,0,1
1548,Hiss and Yell,1947,0,1
1549,History of the World in Three Minutes Flat,1981,0,1
1550,Hit Parade of 1941,1941,0,2
1551,Hit Parade of 1943,1944,0,2
1552,Hitchcock,2013,0,1
1553,Hitchhike to Happiness,1946,0,1
1554,Hitler Lives?,1946,1,1
1555,Hitting a New High,1938,0,1
1556,Hoa-Binh,1971,0,1
1557,Hoffa,1993,0,2
1558,Hold Back the Dawn,1942,0,6
1559,Holiday,1932,0,2
1560,Holiday,1939,0,1
1561,Holiday Inn,1943,1,3
1562,Holiday Land,1935,0,1
1563,Holiday Romance,1999,0,1
1564,Hollow Man,2001,0,1
1565,Hollywood Canteen,1945,0,3
1566,Hollywood Revue,1930,0,1
1567,Hollywood in Uniform,1944,0,1
1568,Hollywood on Trial,1977,0,1
1569,Holy Matrimony,1944,0,1
1570,Homage to Chagall--The Colours of Love,1978,0,1
1571,Home Alone,1991,0,2
1572,Home in Indiana,1945,0,1
1573,Home-Made Car,1964,0,1
1574,Hondo,1954,0,1
1575,Honeysuckle Rose,1981,0,1
1576,Hook,1992,0,5
1577,Hoop Dreams,1995,0,1
1578,Hooper,1979,0,1
1579,Hoosiers,1987,0,2
1580,Hope and Glory,1988,0,5
1581,Hot Millions,1969,0,1
1582,Hotel Rwanda,2005,0,3
1583,Hotel Terminus: The Life and Times of Klaus Barbie,1989,1,1
1584,House of Flying Daggers,2005,0,1
1585,House of Sand and Fog,2004,0,3
1586,House on Telegraph Hill,1952,0,1
1587,Houseboat,1959,0,2
1588,How Far I'll Go,2017,0,1
1589,How Green Was My Valley,1942,5,10
1590,How War Came,1942,0,1
1591,How the West Was Won,1964,3,8
1592,How to Avoid Friendship,1965,0,1
1593,How to Marry a Millionaire,1954,0,1
1594,How to Play Football,1945,0,1
1595,How to Sleep,1936,1,1
1596,How to Survive a Plague,2013,0,1
1597,How to Train Your Dragon,2011,0,2
1598,How to Train Your Dragon 2,2015,0,1
1599,Howards End,1993,3,9
1600,Howl's Moving Castle,2006,0,1
1601,Hud,1964,3,7
1602,Hugo,2012,5,11
1603,Humdrum,2000,0,1
1604,Humoresque,1947,0,1
1605,Hundertwasser's Rainy Day,1973,0,1
1606,Hungarians,1979,0,1
1607,Hunger,1975,0,1
1608,Hunky and Spunky,1939,0,1
1609,Husbands and Wives,1993,0,2
1610,"Hush...Hush, Sweet Charlotte",1965,0,7
1611,Hustle & Flow,2006,1,2
1612,Hypothese Beta,1968,0,1
1613,I Am Love,2011,0,1
1614,I Am Not Your Negro,2017,0,1
1615,I Am Sam,2002,0,1
1616,I Am a Fugitive from a Chain Gang,1934,0,3
1617,I Am a Promise: The Children of Stanton Elementary School,1994,1,1
1618,I Dream Too Much,1936,0,1
1619,I Even Met Happy Gypsies,1968,0,1
1620,I Love You Rosa,1973,0,1
1621,I Married a Witch,1943,0,1
1622,I Met the Walrus,2008,0,1
1623,I Never Forget a Face,1957,0,1
1624,I Never Promised You a Rose Garden,1978,0,1
1625,I Never Sang for My Father,1971,0,3
1626,I Remember Mama,1949,0,5
1627,I Want You,1952,0,1
1628,I Want to Live!,1959,1,6
1629,I Wanted Wings,1942,1,1
1630,I Was a Communist for the F.B.I.,1952,0,1
1631,I Won't Play,1945,1,1
1632,I'll Cry Tomorrow,1956,1,4
1633,I'll Fight,2019,0,1
1634,I'll Find a Way,1978,1,1
1635,I'll Get By,1951,0,1
1636,I'll Wait for the Next One... (J'Attendrai Le Suivant...),2003,0,1
1637,I'm Not There,2008,0,1
1638,"I, Robot",2005,0,1
1639,"I, Tonya",2018,1,3
1640,Icarus,2018,1,1
1641,Icarus Montgolfier Wright,1963,0,1
1642,Ice Age,2003,0,1
1643,Ice Castles,1980,0,1
1644,Ice Station Zebra,1969,0,2
1645,Ice-Capades,1942,0,1
1646,Ida,2015,1,2
1647,If Beale Street Could Talk,2019,1,3
1648,If I Were King,1939,0,4
1649,If You Love This Planet,1983,1,1
1650,If a Tree Falls: A Story of the Earth Liberation Front,2012,0,1
1651,Il Divo,2010,0,1
1652,Il Supplente (The Substitute),2008,0,1
1653,Imagination,1944,0,1
1654,Imitation of Life,1935,0,3
1655,Imitation of Life,1960,0,2
1656,Immortal Love,1962,0,1
1657,In & Out,1998,0,1
1658,In America,2004,0,3
1659,In Beaver Valley,1951,1,1
1660,In Bruges,2009,0,1
1661,In Cold Blood,1968,0,4
1662,In Darkness,2012,0,1
1663,In Harm's Way,1966,0,1
1664,In Old Arizona,1930,1,5
1665,In Old Chicago,1938,2,6
1666,In Old Oklahoma,1944,0,2
1667,In Our Water,1983,0,1
1668,In Which We Serve,1944,0,2
1669,In a Better World,2011,1,1
1670,In the Bedroom,2002,0,5
1671,In the Heat of the Night,1968,5,7
1672,In the Line of Fire,1994,0,3
1673,In the Loop,2010,0,1
1674,In the Name of the Father,1994,0,7
1675,In the Name of the People,1985,0,1
1676,In the Nuclear Shadow: What Can the Children Tell Us?,1984,0,1
1677,In the Region of Ice,1977,1,1
1678,In the Shadow of the Stars,1992,1,1
1679,In the Valley of Elah,2008,0,1
1680,In the Wee Wee Hours...,1988,0,1
1681,In the Year of the Pig,1970,0,1
1682,Incendiary Blonde,1946,0,1
1683,Incendies,2011,0,1
1684,Inception,2011,4,8
1685,Incident in New Baghdad,2012,0,1
1686,Incredibles 2,2019,0,1
1687,Independence Day,1997,1,2
1688,Indiana Jones and the Last Crusade,1990,1,3
1689,Indiana Jones and the Temple of Doom,1985,1,2
1690,Indiscretion of an American Wife,1955,0,1
1691,Indochine,1993,1,2
1692,Information Please,1940,0,1
1693,Inglourious Basterds,2010,1,8
1694,Inherent Vice,2015,0,2
1695,Inherit the Wind,1961,0,4
1696,Inja (Dog),2003,0,1
1697,Innerspace,1988,1,1
1698,Inocente,2013,1,1
1699,Inside Daisy Clover,1966,0,3
1700,Inside Fighting China,1943,0,1
1701,Inside Job,2011,1,1
1702,Inside Llewyn Davis,2014,0,2
1703,Inside Moves,1981,0,1
1704,Inside Out,2016,1,2
1705,Instead of Abracadabra,2010,0,1
1706,Interiors,1979,0,5
1707,Intermezzo,1940,0,1
1708,Interrupted Melody,1956,1,3
1709,Interstellar,2015,1,5
1710,Interview with the Vampire,1995,0,2
1711,Interviews with My Lai Veterans,1971,1,1
1712,Into the Arms of Strangers: Stories of the Kindertransport,2001,1,1
1713,Into the Wild,2008,0,2
1714,Into the Woods,2015,0,3
1715,Investigation of a Citizen above Suspicion,1971,1,1
1716,Investigation of a Citizen above Suspicion,1972,0,1
1717,Invictus,2010,0,2
1718,Invisible Agent,1943,0,1
1719,Iphigenia,1978,0,1
1720,Iraq in Fragments,2007,0,1
1721,Irene,1941,0,1
1722,Iris,2002,1,3
1723,Irish Eyes Are Smiling,1945,0,1
1724,Irma La Douce,1964,1,3
1725,Iron Man,2009,0,2
1726,Iron Man 2,2011,0,1
1727,Iron Man 3,2014,0,1
1728,Ironweed,1988,0,2
1729,Is It Always Right to Be Right?,1971,1,1
1730,Is Paris Burning?,1967,0,2
1731,Isaac in America: A Journey with Isaac Bashevis Singer,1987,0,1
1732,Isadora,1969,0,1
1733,Islands in the Stream,1978,0,1
1734,Islands of the Sea,1961,0,1
1735,Isle of Dogs,2019,0,2
1736,It Happened One Night,1935,5,5
1737,It Happened Tomorrow,1945,0,2
1738,It Happened on Fifth Avenue,1948,0,1
1739,It Happens Every Spring,1950,0,1
1740,It Should Happen to You,1955,0,1
1741,It Started in Naples,1961,0,1
1742,It Started with Eve,1943,0,1
1743,It's Always Fair Weather,1956,0,2
1744,It's Everybody's War,1943,0,1
1745,It's Good to Talk,1998,0,1
1746,It's Got Me Again,1933,0,1
1747,It's So Nice to Have a Wolf around the House,1980,0,1
1748,It's Tough to Be a Bird,1970,1,1
1749,It's a Great Feeling,1950,0,1
1750,"It's a Mad, Mad, Mad, Mad World",1964,1,6
1751,It's a Wonderful Life,1947,0,5
1752,It's the Same World,1981,0,1
1753,Ivanhoe,1953,0,3
1754,JFK,1992,2,8
1755,Jack Johnson,1971,0,1
1756,Jack London,1945,0,1
1757,Jackass Presents: Bad Grandpa,2014,0,1
1758,Jackie,2017,0,3
1759,Jackie Brown,1998,0,1
1760,"Jacob, the Liar",1977,0,1
1761,Jacqueline Susann's Once Is Not Enough,1976,0,1
1762,Jacques-Yves Cousteau's World without Sun,1965,1,1
1763,Jagged Edge,1986,0,1
1764,James and the Giant Peach,1997,0,1
1765,Jammin' the Blues,1945,0,1
1766,Jane Eyre,2012,0,1
1767,Janie,1945,0,1
1768,Jasper and the Beanstalk,1946,0,1
1769,Jaws,1976,3,4
1770,Jenny Is a Good Thing,1970,0,1
1771,Jerry Maguire,1997,1,5
1772,Jerry's Cousin,1951,0,1
1773,Jesus Camp,2007,0,1
1774,Jesus Christ Superstar,1974,0,1
1775,Jesus of Montreal,1990,0,1
1776,Jet Carrier,1955,0,2
1777,Jezebel,1939,2,5
1778,Jim Dine: A Self-Portrait on the Walls,1996,0,1
1779,Jimmy Neutron: Boy Genius,2002,0,1
1780,Jimmy the C,1978,0,1
1781,Joan of Arc,1949,2,7
1782,Joan of Paris,1943,0,1
1783,Joanna,2015,0,1
1784,Job's Revolt,1984,0,1
1785,Joe,1971,0,1
1786,Joe's Violin,2017,0,1
1787,Johann Mouse,1953,1,1
1788,John Henry and the Inky Poo,1947,0,1
1789,John Muir's High Sierra,1975,0,1
1790,Johnny Belinda,1949,1,12
1791,Johnny Come Lately,1944,0,1
1792,Johnny Doughboy,1943,0,1
1793,Johnny Eager,1943,1,1
1794,Johnny Flynton,2003,0,1
1795,Jolly Little Elves,1935,0,1
1796,Jolly Roger,1999,0,1
1797,Jolson Sings Again,1950,0,3
1798,Jonathan Livingston Seagull,1974,0,2
1799,Journey for Survival,1982,0,1
1800,Journey into Life: The World of the Unborn,1991,0,1
1801,Journey into Medicine,1948,0,1
1802,Journey into Self,1969,1,1
1803,Journey into Spring,1959,0,2
1804,Journey of Hope,1991,1,1
1805,Journey to the Center of the Earth,1960,0,3
1806,Journey to the Outer Limits,1974,0,1
1807,Joy,2016,0,1
1808,Joy of Living,1954,0,1
1809,Ju Dou,1991,0,1
1810,Juarez,1940,0,1
1811,Judgment at Nuremberg,1962,2,11
1812,Juke Box Jamboree,1943,0,1
1813,Julia,1978,3,11
1814,Julie,1957,0,2
1815,Julie & Julia,2010,0,1
1816,Juliet of the Spirits,1967,0,2
1817,Julius Caesar,1954,1,5
1818,Junebug,2006,0,1
1819,Jungle Book,1943,0,4
1820,Junior,1995,0,1
1821,Juno,2008,1,4
1822,Jurassic Park,1994,3,3
1823,Just Another Missing Kid,1983,1,1
1824,Just Imagine,1932,0,1
1825,Just for You,1953,0,1
1826,K-Z,1973,0,1
1827,Kagemusha (The Shadow Warrior),1981,0,2
1828,Kahl,1962,0,1
1829,Kama Sutra Rides Again,1973,0,1
1830,Kangaroo Court,1995,0,1
1831,Kapo,1961,0,1
1832,Karama Has No Walls,2014,0,1
1833,Karl Hess: Toward Liberty,1981,1,1
1834,Kate & Leopold,2002,0,1
1835,Katyn,2008,0,1
1836,Kavi,2010,0,1
1837,Keats and His Nightingale: A Blind Date,1986,0,1
1838,Keeper of Promises (The Given Word),1963,0,1
1839,Kenji Comes Home,1950,0,1
1840,Kenojuak,1965,0,1
1841,Kentucky,1939,1,1
1842,Key Largo,1949,1,1
1843,Khartoum,1967,0,1
1844,Khovanshchina,1962,0,1
1845,Kick Me,1976,0,1
1846,Killing Joe,2000,0,1
1847,Killing in the Name,2011,0,1
1848,Kind Lady,1952,0,1
1849,King Gimp,2000,1,1
1850,King Kong,1977,0,2
1851,King Kong,2006,3,4
1852,King Rat,1966,0,2
1853,King Solomon's Mines,1951,2,3
1854,King of Burlesque,1936,0,2
1855,King of Jazz,1931,1,1
1856,King of the Zombies,1942,0,1
1857,King: A Filmed Record...Montgomery to Memphis,1971,0,1
1858,Kings Point,2013,0,1
1859,Kings Row,1943,0,3
1860,Kings of the Turf,1942,0,1
1861,Kinsey,2005,0,1
1862,Kismet,1945,0,4
1863,Kiss Me Kate,1954,0,1
1864,Kiss of Death,1948,0,2
1865,Kiss of the Spider Woman,1986,1,4
1866,Kisses for My President,1965,0,1
1867,Kitty,1947,0,1
1868,Kitty Foyle,1941,1,5
1869,Kleingeld (Small Change),2000,0,1
1870,Klondike Fury,1943,0,1
1871,Klute,1972,1,2
1872,Knickerbocker Holiday,1945,0,1
1873,Knife Skills,2018,0,1
1874,Knife in the Water,1964,0,1
1875,Knights of the Round Table,1954,0,2
1876,Knighty Knight Bugs,1959,1,1
1877,Knock on Wood,1955,0,1
1878,Kokoda Front Line!,1943,0,1
1879,Kolya,1997,1,1
1880,Kon-Tiki,1952,1,1
1881,Kon-Tiki,2013,0,1
1882,Kong: Skull Island,2018,0,1
1883,Koryo Celadon,1980,0,1
1884,Kotch,1972,0,4
1885,Krakatoa,1934,1,1
1886,"Krakatoa, East of Java",1970,0,1
1887,Kramer vs. Kramer,1980,5,9
1888,Kubo and the Two Strings,2017,0,2
1889,Kudzu,1977,0,1
1890,Kundun,1998,0,4
1891,Kung Fu Panda,2009,0,1
1892,Kung Fu Panda 2,2012,0,1
1893,Kwaidan,1966,0,1
1894,L'Invitation,1974,0,1
1895,L'Uomo in Grigio (The Man in Gray),1962,0,1
1896,L.A. Confidential,1998,2,9
1897,La Cage aux Folles,1980,0,3
1898,La Carte Postale (The Postcard),1999,0,1
1899,La Corona (The Crown),2008,0,1
1900,La Cucaracha,1935,1,1
1901,La Dolce Vita,1962,1,4
1902,La Femme et le TGV,2017,0,1
1903,La Fiesta de Santa Barbara,1937,0,1
1904,La Grande Olimpiade (Olympic Games 1960),1962,0,1
1905,La Guerre Est Finie,1968,0,1
1906,La La Land,2017,5,12
1907,La Luna,2012,0,1
1908,La Maison en Petits Cubes,2009,1,1
1909,La Ronde,1952,0,2
1910,La Salla,1997,0,1
1911,La Strada,1957,1,2
1912,La Traviata,1983,0,2
1913,La Venganza,1959,0,1
1914,La Vie en Rose,2008,2,3
1915,La Vieille Dame et les Pigeons (The Old Lady and the Pigeons),1998,0,1
1916,La Vérité ,1961,0,1
1917,LaLee's Kin: The Legacy of Cotton,2002,0,1
1918,"Lacombe, Lucien",1975,0,1
1919,Ladies in Retirement,1942,0,2
1920,Lady Be Good,1942,1,1
1921,Lady Bird,2018,0,5
1922,Lady Sings the Blues,1973,0,5
1923,Lady and Gent,1933,0,1
1924,Lady for a Day,1934,0,4
1925,Lady in the Dark,1945,0,3
1926,Lady of Burlesque,1944,0,1
1927,Lady on a Train,1946,0,1
1928,"Lady, Let's Dance",1945,0,2
1929,Ladyhawke,1986,0,2
1930,Lagaan,2002,0,1
1931,"Lambert, the Sheepish Lion",1952,0,1
1932,Land of Mine,2017,0,1
1933,Land of Promise,1976,0,1
1934,Language Says It All,1988,0,1
1935,Lars and the Real Girl,2008,0,1
1936,Las Madres -- The Mothers of Plaza de Mayo,1986,0,1
1937,Las Vegas Nights,1942,0,1
1938,Lassie Come Home,1944,0,1
1939,Last Breeze of Summer,1992,0,1
1940,Last Day of Freedom,2016,0,1
1941,Last Days in Vietnam,2015,0,1
1942,Last Men in Aleppo,2018,0,1
1943,Last Summer,1970,0,1
1944,Last Tango in Paris,1974,0,2
1945,Last Year at Marienbad,1963,0,1
1946,Late Afternoon,2019,0,1
1947,Laughter,1932,0,1
1948,Laura,1945,1,5
1949,Lavatory - Lovestory,2009,0,1
1950,Lawrence of Arabia,1963,7,10
1951,Le Bal,1984,0,1
1952,Le Ciel et la Boue (Sky Above and Mud Beneath),1962,1,1
1953,Le Maillon et la Chaine (The Link and the Chain),1964,0,1
1954,Le Mozart des Pickpockets (The Mozart of Pickpockets),2008,1,1
1955,Le Plaisir,1955,0,1
1956,Le Volcan Interdit (The Forbidden Volcano),1967,0,1
1957,Leave Her to Heaven,1946,1,4
1958,Leaving Las Vegas,1996,1,4
1959,Legacy,2001,0,1
1960,Legend,1987,0,1
1961,Legends of the Fall,1995,1,3
1962,Leisure,1977,1,1
1963,Lemony Snicket's A Series of Unfortunate Events,2005,1,4
1964,Lend a Paw,1942,1,1
1965,Lenny,1975,0,6
1966,Lenny Bruce: Swear to Tell the Truth,1999,0,1
1967,Leo Beuerman,1970,0,1
1968,Les Girls,1958,1,3
1969,Les Mis_rables,2013,2,5
1970,Les Miserables,1936,0,4
1971,Les Misérables,2013,1,3
1972,Let It Be,1971,1,1
1973,Let My People Go,1966,0,1
1974,Let's Get Lost,1989,0,1
1975,Let's Make Love,1961,0,1
1976,Let's Pollute,2011,0,1
1977,Lethal Weapon,1988,0,1
1978,Lethal Weapon 2,1990,0,1
1979,Letter from Home,1942,0,1
1980,Letter to a Hero,1944,0,1
1981,Letters from Iwo Jima,2007,1,4
1982,Letters from Marusia,1976,0,1
1983,Leviathan,2015,0,1
1984,Li'l Abner,1960,0,1
1985,Libel!,1960,0,1
1986,Libeled Lady,1937,0,1
1987,Liberators: Fighting on Two Fronts in World War II,1993,0,1
1988,Library of Congress,1946,0,1
1989,Lieberman in Love,1996,1,1
1990,Lies My Father Told Me,1976,0,1
1991,Life,2000,0,1
1992,Life Is Beautiful,1999,3,7
1993,Life Times Nine,1974,0,1
1994,Life at the Zoo,1947,0,1
1995,Life of Pi,2013,4,11
1996,Life of a Thoroughbred,1942,0,1
1997,Life with Father,1948,0,4
1998,Life with Feathers,1946,0,1
1999,"Life, Animated",2017,0,1
2000,Lifeboat,1945,0,3
2001,Lifeboat,2019,0,1
2002,Lifted,2007,0,1
2003,Light in the Window: The Art of Vermeer,1953,1,1
2004,Lili,1954,1,6
2005,Lilies of the Field,1964,1,5
2006,Lillian Russell,1941,0,1
2007,Lilo & Stitch,2003,0,1
2008,Limelight,1973,1,1
2009,Lincoln,2013,2,12
2010,Lion,2017,0,6
2011,Listen to Britain,1943,0,1
2012,Little Belgium,1943,0,1
2013,Little Big Man,1971,0,1
2014,Little Caesar,1932,0,1
2015,Little Children,2007,0,3
2016,Little Dorrit,1989,0,2
2017,Little Fugitive,1954,0,1
2018,Little Isles of Freedom,1943,0,1
2019,Little Johnny Jet,1953,0,1
2020,Little Miss Sunshine,2007,2,4
2021,Little Shop of Horrors,1987,0,2
2022,Little Surprises,1996,0,1
2023,Little Terrorist,2005,0,1
2024,Little Voice,1999,0,1
2025,Little Women,1934,1,3
2026,Little Women,1950,1,2
2027,Little Women,1995,0,3
2028,Live and Let Die,1974,0,1
2029,Live for Life,1968,0,1
2030,Lloyds of London,1937,0,2
2031,Logan,2018,0,1
2032,Logan's Run,1977,0,2
2033,Logorama,2010,1,1
2034,Lolita,1963,0,1
2035,London Can Take It,1941,0,1
2036,Lone Star,1997,0,1
2037,Lone Survivor,2014,0,2
2038,Lonelyhearts,1959,0,1
2039,Long Day's Journey into Night,1963,0,1
2040,Long Night's Journey into Day,2001,0,1
2041,Longtime Companion,1991,0,1
2042,Look for the Silver Lining,1950,0,1
2043,Looking for Mr. Goodbar,1978,0,2
2044,Lorenzo,2005,0,1
2045,Lorenzo's Oil,1993,0,2
2046,Los Tarantos,1964,0,1
2047,Lost Horizon,1938,2,7
2048,Lost in Translation,2004,1,4
2049,Lou,2018,0,1
2050,Louisa,1951,0,1
2051,Louisiana Purchase,1942,0,2
2052,Louisiana Story,1949,0,1
2053,Love Affair,1940,0,6
2054,Love Field,1993,0,1
2055,Love Is a Many-Splendored Thing,1956,3,8
2056,Love Letters,1946,0,4
2057,Love Me Forever,1936,0,1
2058,Love Me or Leave Me,1956,1,6
2059,Love Story,1971,1,7
2060,Love Struck,1987,0,1
2061,Love with the Proper Stranger,1964,0,5
2062,Loveless,2018,0,1
2063,Lover Come Back,1962,0,1
2064,Lovers and Other Strangers,1971,1,3
2065,Loves of a Blonde,1967,0,1
2066,Loving,2017,0,1
2067,Loving Vincent,2018,0,1
2068,Ludwig,1974,0,1
2069,Lust for Life,1957,1,4
2070,Luther Metke at 94,1981,0,1
2071,Luxo Jr.,1987,0,1
2072,Lydia,1942,0,1
2073,M*A*S*H,1971,1,5
2074,Macario,1961,0,1
2075,Mad Max: Fury Road,2016,6,10
2076,Mad about Music,1939,0,4
2077,"Madagascar, carnet de voyage (Madagascar, a Journey Diary)",2011,0,1
2078,Madame Bovary,1950,0,1
2079,Madame Bovary,1992,0,1
2080,Madame Curie,1944,0,7
2081,Madame Rosa,1978,1,1
2082,Madame Tutli-Putli,2008,0,1
2083,Madame X,1930,0,2
2084,Madeline,1953,0,1
2085,Madron,1971,0,1
2086,Maestro,2007,0,1
2087,"Maggie Simpson in ""The Longest Daycare""",2013,0,1
2088,Magnificent Obsession,1955,0,1
2089,Magnolia,2000,0,3
2090,Mahogany,1976,0,1
2091,Main Street Today,1945,0,1
2092,Main Street on the March!,1942,1,1
2093,Major and Minor Miracles,2000,0,1
2094,Make a Wish,1938,0,1
2095,Making Overtures--The Story of a Community Orchestra,1986,0,1
2096,Making Waves,1988,0,1
2097,Malcolm X,1973,0,1
2098,Malcolm X,1993,0,2
2099,Maleficent,2015,0,1
2100,Mama Turns a Hundred,1980,0,1
2101,Man Alive!,1953,0,1
2102,Man in Space,1957,0,1
2103,Man of Conquest,1940,0,3
2104,Man of Iron,1982,0,1
2105,Man of La Mancha,1973,0,1
2106,Man of a Thousand Faces,1958,0,1
2107,Man on Wire,2009,1,1
2108,Manchester by the Sea,2017,2,6
2109,Mandela,1997,0,1
2110,Mandela: Long Walk to Freedom,2014,0,1
2111,Mandragola,1967,0,1
2112,Mandy's Grandmother,1979,0,1
2113,Manhattan,1980,0,2
2114,Manhattan Melodrama,1935,1,1
2115,Manhattan Merry-Go-Round,1938,0,1
2116,Manipulation,1992,1,1
2117,Mannequin,1939,0,1
2118,Mannequin,1988,0,1
2119,Manon on the Asphalt,2009,0,1
2120,Manson,1973,0,1
2121,Marathon Man,1977,0,1
2122,March of the Penguins,2006,1,1
2123,Mardi Gras,1944,0,1
2124,Mardi Gras,1959,0,1
2125,Margin Call,2012,0,1
2126,Marguerite,2019,0,1
2127,Maria Full of Grace,2005,0,1
2128,Marie Antoinette,1939,0,4
2129,Marie Antoinette,2007,1,1
2130,Marie-Louise,1946,1,1
2131,Marines in the Making,1943,0,1
2132,Marjoe,1973,1,1
2133,Marjorie Morningstar,1959,0,1
2134,Marlene,1985,0,1
2135,Marooned,1970,1,3
2136,Marriage Italian Style,1965,0,1
2137,Marriage Italian Style,1966,0,1
2138,Married to the Mob,1989,0,1
2139,Martin Luther,1954,0,2
2140,Marty,1956,4,8
2141,Marvel's The Avengers,2013,0,1
2142,Marvin's Room,1997,0,1
2143,Mary Poppins,1965,5,13
2144,Mary Poppins Returns,2019,0,3
2145,Mary Queen of Scots,2019,0,2
2146,Mary Shelley's Frankenstein,1995,0,1
2147,"Mary, Queen of Scots",1972,0,5
2148,Mask,1986,1,1
2149,Master and Commander: The Far Side of the World,2004,2,10
2150,Match Point,2006,0,1
2151,Matewan,1988,0,1
2152,Maurice,1988,0,1
2153,Maverick,1995,0,1
2154,Maya Lin: A Strong Clear Vision,1995,1,1
2155,Maytime,1938,0,2
2156,McCabe & Mrs. Miller,1972,0,1
2157,Me and My Moulton,2015,0,1
2158,Mediterraneo,1992,1,1
2159,Meet John Doe,1942,0,1
2160,Meet Me in Las Vegas,1957,0,1
2161,Meet Me in St. Louis,1945,0,4
2162,Meet the Parents,2001,0,1
2163,Melvin and Howard,1981,2,3
2164,Memento,2002,0,2
2165,Memoirs of a Geisha,2006,3,6
2166,Memorial: Letters from American Soldiers,1992,0,1
2167,Men against the Arctic,1956,1,1
2168,Men in Black,1935,0,1
2169,Men in Black,1998,1,3
2170,Menu,1934,0,1
2171,Mephisto,1982,1,1
2172,Mercy Island,1942,0,1
2173,Meredith Willson's The Music Man,1963,1,6
2174,Merrily We Live,1939,0,5
2175,Meteor,1980,0,1
2176,Metropolitan,1991,0,1
2177,Mexicali Shmoes,1960,0,1
2178,Michael Clayton,2008,1,7
2179,Michael Collins,1997,0,2
2180,Mickey and the Seal,1949,0,1
2181,Mickey's Christmas Carol,1984,0,1
2182,Mickey's Orphans,1933,0,1
2183,Midnight Cowboy,1970,3,7
2184,Midnight Express,1979,2,6
2185,Midnight Lace,1961,0,1
2186,Midnight in Paris,2012,1,4
2187,Mighty Aphrodite,1996,1,2
2188,Mighty Joe Young,1950,1,1
2189,Mighty Joe Young,1999,0,1
2190,Mighty Mouse in Gypsy Life,1946,0,1
2191,Mighty River,2018,0,1
2192,Mighty Times: The Children's March,2005,1,1
2193,Mighty Times: The Legacy of Rosa Parks,2003,0,1
2194,Mike's New Car,2003,0,1
2195,Mildred Pierce,1946,1,6
2196,Milk,2009,2,8
2197,Million Dollar Baby,2005,4,7
2198,Million Dollar Mermaid,1953,0,1
2199,Millions of Years Ahead of Man,1976,0,1
2200,Min and Bill,1932,1,1
2201,Minding the Gap,2019,0,1
2202,Minority Report,2003,0,1
2203,Minstrel Man,1945,0,2
2204,Miracle Fish,2010,0,1
2205,Miracle of Fatima,1953,0,1
2206,Miracle on 34th Street,1948,3,4
2207,Mirai,2019,0,1
2208,Mirror Mirror,2013,0,1
2209,Misery,1991,1,1
2210,Miss Sadie Thompson,1954,0,1
2211,Missing,1983,1,4
2212,Mission to Moscow,1944,0,1
2213,Mississippi Burning,1989,1,7
2214,Mister 880,1951,0,1
2215,Mister Buddwing,1967,0,2
2216,Mister Magoo's Puddle Jumper,1957,1,1
2217,Mister Mugg,1934,0,1
2218,Mister Roberts,1956,1,3
2219,Moana,2017,0,1
2220,Mogambo,1954,0,2
2221,Mohammad - Messenger of God,1978,0,1
2222,Molly's Game,2018,0,1
2223,Molly's Pilgrim,1986,1,1
2224,Mon Oncle D'Amerique,1981,0,1
2225,Mona Lisa,1987,0,1
2226,Mona Lisa Descending a Staircase,1993,1,1
2227,Mondays at Racine,2013,0,1
2228,Mondo Cane,1964,0,1
2229,Moneyball,2012,0,6
2230,Mongol,2008,0,1
2231,Monsieur Lazhar,2012,0,1
2232,Monsieur Pointu,1976,0,1
2233,Monsieur Verdoux,1948,0,1
2234,Monster,2004,1,1
2235,Monster House,2007,0,1
2236,Monster's Ball,2002,1,2
2237,"Monsters, Inc.",2002,1,4
2238,Monument to the Dream,1968,0,1
2239,Moon Rockets,1948,0,1
2240,Moonbird,1960,1,1
2241,Moonlight,2017,3,8
2242,Moonraker,1980,0,1
2243,Moonrise,1949,0,1
2244,Moonrise Kingdom,2013,0,1
2245,Moonstruck,1988,3,6
2246,Moontide,1943,0,1
2247,More,1999,0,1
2248,More about Nostradamus,1941,0,1
2249,Morgan!,1967,0,2
2250,Morituri,1966,0,2
2251,Morning Glory,1934,1,1
2252,Morocco,1932,0,4
2253,Moscow Does Not Believe in Tears,1981,1,1
2254,Moscow Moods,1937,0,1
2255,Moscow Strikes Back,1943,0,1
2256,Most (The Bridge),2004,0,1
2257,Mother,2019,0,1
2258,Mother Goose Goes Hollywood,1939,0,1
2259,Mother India,1958,0,1
2260,Mother Is a Freshman,1950,0,1
2261,Mother Wore Tights,1948,1,3
2262,Moulin Rouge,1953,2,7
2263,Moulin Rouge,2002,2,8
2264,Mourning Becomes Electra,1948,0,2
2265,Mouse Trouble,1945,1,1
2266,Mouse Wreckers,1949,0,1
