,Films,Year,Oscars,Nominations
387,Babes on Broadway,1943,0,1
388,Babette's Feast,1988,1,1
389,Baby Doll,1957,0,4
390,Baby Driver,2018,0,3
391,Bachelor Mother,1940,0,1
392,Bachelor in Paradise,1962,0,1
393,Back Street,1942,0,1
394,Back Street,1962,0,1
395,Back to the Future,1986,1,4
396,Back to the Future Part II,1990,0,1
397,Backdraft,1992,0,3
398,Background,1974,0,1
399,Bad Day at Black Rock,1956,0,3
400,Bad Girl,1933,2,3
401,Badgered,2006,0,1
402,Bagdad Cafe,1989,0,1
403,Balalaika,1940,0,1
404,Balance,1990,1,1
405,Ball of Fire,1942,0,4
406,Ballad of a Soldier,1962,0,1
407,Ballet Robotique,1983,0,1
408,Ballon Vole (Play Ball!),1962,0,1
409,Balseros,2004,0,1
410,Balzac,1952,0,1
411,Bambi,1943,0,3
412,Bang the Drum Slowly,1974,0,1
413,Banjo on My Knee,1937,0,1
414,Banning,1968,0,1
415,Bao,2019,1,1
416,Baptism of Fire,1944,0,1
417,Barbary Coast,1936,0,1
418,Barefoot in the Park,1968,0,1
419,Barney's Version,2011,0,1
420,Barry Lyndon,1976,4,7
421,Barton Fink,1992,0,3
422,Basic Instinct,1993,0,2
423,Batman,1990,1,1
424,Batman Begins,2006,0,1
425,Batman Forever,1996,0,3
426,Batman Returns,1993,0,2
427,Battle Cry,1956,0,1
428,Battle of Berlin,1974,0,1
429,Battleground,1950,2,6
430,Beach Red,1968,0,1
431,Beaches,1989,0,1
432,Bear Country,1954,1,1
433,Bear Story,2016,1,1
434,Beasts of the Southern Wild,2013,0,4
435,Beau Geste,1940,0,2
436,Beaufort,2008,0,1
437,Beauty and the Beach,1942,0,1
438,Beauty and the Beast,1992,2,6
439,Beauty and the Beast,2018,0,2
440,Beauty and the Bull,1955,0,1
441,Because You're Mine,1953,0,1
442,Becket,1965,1,12
443,Becky Sharp,1936,0,1
444,Bedknobs and Broomsticks,1972,1,5
445,Beep Prepared,1962,0,1
446,Beethoven's 2nd,1994,0,1
447,Beetlejuice,1989,1,1
448,Before Midnight,2014,0,1
449,Before Night Falls,2001,0,1
450,Before Sunset,2005,0,1
451,Before the Mountain Was Moved,1970,0,1
452,Before the Rain,1995,0,1
453,Begin Again,2015,0,1
454,Beginners,2012,1,1
455,Behind the News,1941,0,1
456,Being John Malkovich,2000,0,3
457,Being Julia,2005,0,1
458,Being There,1980,1,2
459,"Bell, Book and Candle",1959,0,2
460,Belle Epoque,1994,1,1
461,Belle of the Yukon,1946,0,2
462,Bells Are Ringing,1961,0,1
463,Beloved,1999,0,1
464,Ben,1973,0,1
465,Ben and Me,1954,0,1
466,Ben's Mill,1983,0,1
467,Ben-Hur,1960,11,12
468,Beneath the 12-Mile Reef,1954,0,1
469,Benji,1975,0,1
470,Benjy,1952,1,1
471,Berkeley Square,1934,0,1
472,Berkeley in the Sixties,1991,0,1
473,Best Boy,1980,1,1
474,Best Friends,1983,0,1
475,Betrayal,1984,0,1
476,Betty Blue,1987,0,1
477,Between Heaven and Hell,1957,0,1
478,Between the Tides,1960,0,1
479,Beverly Hills Cop,1985,0,1
480,Beverly Hills Cop II,1988,0,1
481,"Beyond Imagining: Margaret Anderson and the ""Little Review""",1993,0,1
482,Beyond Silence,1961,0,1
